company,id,number_of_board_memebers,average_age_board,total_active_assignments,total_active_assignments_star,total_prev_assignments,proportion_historic_defaults
Nordic Crane Heavy Lift AB,5563268936,5.0,52.0,3.0,2,19.0,0.0
Kanozi Sverige AB,5569108847,7.0,49.0,11.0,6,18.0,0.0
Färgkraft Aktiebolag,5562416296,3.0,52.0,3.0,2,4.0,0.0
Familjen Grann Form AB,5569083768,3.0,57.0,3.0,2,5.0,0.0
Rum o Kök Byggpartner GBG AB,5591301006,2.0,30.0,2.0,1,1.0,0.0
PROENTA AB,5590686167,2.0,59.0,2.0,1,6.0,0.0
Schultz Måleri AB,5569514457,2.0,45.0,2.0,1,0.0,0.0
Websail Westcoast AB,5590483524,2.0,58.0,2.0,1,4.0,0.0
VX Invest AB,5566907357,3.0,60.0,5.0,4,9.0,0.0
Vimpelkullen Projekt AB,5590914080,3.0,58.0,14.0,9,9.0,0.0
JSA Ventilation AB,5569737165,2.0,44.0,2.0,1,1.0,0.0
Pryde & Partners Ark.byrå AB,5565431854,2.0,69.0,4.0,3,3.0,0.0
Thorstensson Bygg AB,5568150899,2.0,47.0,2.0,1,1.0,0.0
E.HED INVEST AB,5590285085,2.0,34.0,2.0,1,2.0,0.0
Cetemuko AB,5590260120,2.0,52.0,6.0,5,5.0,0.0
ULC Engineering AB,5569966533,3.0,43.0,4.0,3,2.0,0.0
Admida AB,5564950466,3.0,61.0,5.0,4,5.0,0.0
Sjöbastun Invest AB,5590154760,2.0,60.0,3.0,2,5.0,0.0
Bygg & Fastighetskonsult SBR Åke Nilsson AB,5568722770,2.0,73.0,2.0,1,8.0,0.0
Baldursson Home AB,5569356206,2.0,63.0,3.0,2,13.0,0.0
Black Badger AB,5591084743,2.0,42.0,2.0,1,2.0,0.0
Ti Pe Aktiebolag,5565181020,4.0,51.0,11.0,10,8.0,0.0
Viva Ocean Group AB,5590094941,2.0,45.0,2.0,1,1.0,0.0
Jonas Olsson Style Lab. AB,5569317232,2.0,37.0,3.0,2,0.0,0.0
MAKA ARKITEKTUR AB,5568573611,2.0,37.0,2.0,1,2.0,0.0
HAJPO Aktiebolag,5564163995,2.0,65.0,2.0,1,1.0,0.0
Jutabo Konsult AB,5569783722,3.0,38.0,18.0,17,36.0,0.0
JOOY DESIGN AB,5568875529,2.0,54.0,2.0,1,0.0,0.0
Jonas Hoffman Byggställningar AB,5569498438,2.0,42.0,2.0,1,2.0,0.0
JONSENTAB Entreprenad AB,5592051162,2.0,50.0,2.0,1,3.0,0.0
Wickelgren Arkitekt & Design Aktiebolag,5564285566,1.0,76.0,2.0,1,3.0,0.0
Iluvfridays Textil AB,5590847546,2.0,46.0,2.0,1,3.0,0.0
Fredriksbergs Golv & Kakel AB,5569949687,2.0,44.0,3.0,2,0.0,0.0
Jones Fastighetskonsult AB,5569284358,4.0,48.0,2.0,1,1.0,0.0
Purgus AB,5566424866,3.0,42.0,8.0,4,9.0,0.0
Göteborgs innovation AB,5569845547,4.0,51.0,2.0,1,2.0,0.0
OCTOPUS Fastighetskonsulter Aktiebolag,5563894301,2.0,73.0,2.0,1,3.0,0.0
Amiraliteten i Velanda AB,5590947007,2.0,65.0,6.0,5,7.0,0.0
Skiltorps Bygg & Transport AB,5566709399,2.0,52.0,4.0,3,3.0,0.0
Aktiebolaget Cim & Bim,5563920486,3.0,58.0,3.0,2,5.0,0.0
Varaslättens Bygg Aktiebolag,5561817874,3.0,71.0,2.0,1,0.0,0.0
Spinnspö Förvaltning AB,5590241971,2.0,52.0,5.0,4,13.0,0.0
Top Cote AB,5561504100,3.0,61.0,9.0,8,21.0,0.0
Rolf Hermann EL AB,5565789384,2.0,45.0,9.0,8,5.0,0.0
Sandareds Arkitektkontor AB,5569911000,2.0,54.0,4.0,2,3.0,0.0
Gillholm Konsult AB,5591730477,2.0,45.0,5.0,3,0.0,0.0
FÄLEMARK FILM AB,5569703928,2.0,56.0,7.0,6,4.0,0.0
Anna Hörling Form AB,5567395305,2.0,57.0,3.0,2,5.0,0.0
Remontant AB,5591321392,2.0,39.0,2.0,1,2.0,0.0
Realen AB,5590977004,2.0,64.0,15.0,14,22.0,0.0
Invacore AB,5564799715,2.0,61.0,3.0,2,1.0,0.0
Reand Holding AB,5569943029,2.0,49.0,3.0,2,2.0,0.0
KEJO Infrateknikkonsult AB,5569298952,2.0,74.0,2.0,1,4.0,0.0
Timmervik Entreprenad AB,5591697544,2.0,29.0,3.0,2,2.0,0.0
Trestads Värme AB,5568991334,2.0,52.0,5.0,4,7.0,0.0
Tyrells VVS AB,5562554831,2.0,45.0,2.0,1,4.0,0.0
Wihmans Bygg AB,5590184684,3.0,49.0,12.0,5,6.0,0.0
Aldu Solenergi AB,5590699673,2.0,50.0,3.0,2,9.0,0.0
Carlund & Co AB,5562038017,4.0,65.0,6.0,2,7.0,0.0
BCK ENTREPRENAD AB,5591242978,2.0,37.0,4.0,3,8.0,0.0
PCB Maskinuthyrning AB,5568999360,2.0,33.0,3.0,2,2.0,0.0
Balken Entreprenad AB,5569849424,2.0,68.0,2.0,1,5.0,0.0
Sandhs Entreprenad i Sverige AB,5567504542,2.0,59.0,5.0,4,5.0,0.0
LANDFILL SWEDEN AB,5590946611,3.0,44.0,3.0,2,0.0,0.0
Nordisk Vattenprojektering AB,5566705884,2.0,59.0,6.0,5,5.0,0.0
Dagholmen Produktion AB,5591679260,3.0,61.0,4.0,3,3.0,0.0
Byggbiten i Göteborg AB,5591992721,2.0,38.0,4.0,3,4.0,0.0
Pumpexperten i Kungsbacka AB,5592200264,2.0,51.0,5.0,2,3.0,0.0
JC Grafisk Konsult AB,5569177842,2.0,53.0,3.0,2,6.0,0.0
Kjell Englund AB,5590504196,2.0,70.0,2.0,1,0.0,0.0
Anelo Entreprenad AB,5568162209,2.0,53.0,2.0,1,1.0,0.0
Preveco AB,5567033658,4.0,34.0,2.0,1,2.0,0.0
BuildingMore bygg AB,5591477194,2.0,54.0,4.0,3,3.0,0.0
Algeröd Jokumsen Kakel & Klinker AB,5590357587,2.0,43.0,4.0,3,1.0,0.0
LGM Elservice Aktiebolag,5562902113,2.0,72.0,3.0,2,0.0,0.0
Repiper AB,5567655278,3.0,58.0,22.0,19,46.0,0.0
Svensk Kranförartjänst AB,5590112883,2.0,58.0,2.0,1,0.0,0.0
Accent Branding AB,5565639696,2.0,67.0,2.0,1,4.0,0.0
Ranch Market AB,5562852938,2.0,54.0,3.0,2,2.0,0.0
Plesir AB,5566134333,2.0,61.0,2.0,1,2.0,0.0
Mölndals Hyr- & Markservice AB,5590497755,2.0,43.0,5.0,2,3.0,0.0
Ratcon AB,5567855654,2.0,57.0,6.0,5,26.0,0.0
Stadiga Hus i Västsverige AB,5591515910,2.0,24.0,2.0,1,3.0,0.0
pd3 studio AB,5591287692,4.0,49.0,18.0,16,36.0,0.0
AP Service Sverige AB,5592087737,2.0,55.0,4.0,1,2.0,0.0
SACRO AB,5591056154,3.0,60.0,2.0,1,0.0,0.0
Optivia AB,5592088800,8.0,42.0,4.0,3,6.0,0.0
Göteborgs Maskincentral AB,5569772477,2.0,55.0,2.0,1,0.0,0.0
Waterback Invest AB,5591904759,2.0,33.0,2.0,1,0.0,0.0
Nod 55 Arkitektur & Konst AB,5568279904,2.0,65.0,2.0,1,4.0,0.0
Landala Bygg AB,5591097117,2.0,30.0,2.0,1,1.0,0.0
LBD Måleri AB,5590063904,1.0,55.0,2.0,1,1.0,0.0
Biversten Arkitektfirma Aktiebolag,5563320273,2.0,74.0,2.0,1,0.0,0.0
Ställningskungen AB,5567147623,2.0,73.0,7.0,6,9.0,0.0
IQC Engineering AB,5591998538,2.0,48.0,2.0,1,1.0,0.0
Härryda Projektutvecklings AB,5591023733,4.0,45.0,56.0,55,54.0,0.0
SPV Projekttjänster AB,5591610315,6.0,48.0,10.0,9,9.0,0.0
Olivest AB,5566732342,2.0,44.0,20.0,19,32.0,0.0
Västerberget AB,5569135055,2.0,41.0,3.0,2,4.0,0.0
Hjobo AB,5590815345,7.0,47.0,4.0,3,4.0,0.0
LP Öxabäck AB,5569481848,4.0,53.0,5.0,4,0.0,0.0
CL Mätning AB,5567428981,2.0,46.0,2.0,1,2.0,0.0
House of Moberg AB,5590347786,3.0,34.0,3.0,2,8.0,0.0
kanEL i Borås AB,5568299217,4.0,55.0,2.0,1,1.0,0.0
Lidköpings Rörmontage AB,5564634730,2.0,40.0,3.0,2,1.0,0.0
Vipnordic AB,5567059828,6.0,55.0,7.0,6,4.0,0.0
JULIN BOSTADSANPASSNINGAR OCH FRISKVÅRD AB,5561577692,3.0,52.0,3.0,2,3.0,0.0
Göteborgs BTS AB,5591254296,2.0,41.0,3.0,2,2.0,0.0
Arsh Bygg & Miljö AB,5569177891,2.0,49.0,3.0,2,3.0,0.0
Celsiusgatan Fastigheter AB,5591424360,6.0,51.0,26.0,22,36.0,0.0
Lennljungs Måleri AB,5591195341,3.0,51.0,2.0,1,3.0,0.0
Bäst i väst Bygg AB,5569276636,4.0,44.0,5.0,3,1.0,0.0
Pelldén projekt-& fastighetsutveckling AB,5568347032,2.0,47.0,17.0,16,5.0,0.0
Sörab Fastighetsförvaltning AB,5564409208,3.0,62.0,5.0,4,18.0,0.0
Meva Energy AB,5567208474,8.0,59.0,2.0,1,3.0,0.0
El & Eldningsekonomi i Göteborg AB,5569952061,3.0,53.0,2.0,1,8.0,0.0
Rstudio construction AB,5591607873,3.0,44.0,9.0,8,3.0,0.0
Stefan & Lars Kellgren Måleri AB,5565952990,3.0,52.0,2.0,1,0.0,0.0
Bobesiktningar i Göteborg AB,5565780599,2.0,49.0,2.0,1,4.0,0.0
Kinnevikens El Aktiebolag,5569625766,2.0,56.0,2.0,1,0.0,0.0
Qvarnkullens El AB,5590986880,3.0,37.0,5.0,2,1.0,0.0
Hullsjö Geo-Mark Aktiebolag,5564045382,2.0,63.0,6.0,5,4.0,0.0
WorkPrecision Sweden AB,5590176243,3.0,43.0,3.0,2,9.0,0.0
Tanums Gräventreprenad AB,5568493182,3.0,47.0,3.0,2,3.0,0.0
Gamlestadens Glas AB,5590504469,2.0,49.0,2.0,1,1.0,0.0
RK Halland AB,5567940340,4.0,41.0,12.0,11,22.0,0.0
Arkitektrådet - Ark Peo Oskarsson Aktiebolag,5563633196,2.0,65.0,3.0,2,7.0,0.0
Krus Bygger Hus AB,5568178700,2.0,37.0,2.0,1,3.0,0.0
HDG Bygg & Entreprenad AB,5590706312,2.0,36.0,2.0,1,0.0,0.0
Corona Elteknik AB,5568505431,2.0,51.0,2.0,1,2.0,0.0
Klas Åman Aktiebolag,5563518363,2.0,63.0,2.0,1,4.0,0.0
Bijanson AB,5590913520,1.0,37.0,2.0,1,1.0,0.0
Vivas Måleri AB,5591458988,1.0,27.0,2.0,1,1.0,0.0
PB Väst AB,5591613046,2.0,60.0,4.0,3,9.0,0.0
A.Franzén Byggtjänst & Förvaltning AB,5568760861,3.0,45.0,6.0,4,2.0,0.0
Eventon Consulting AB,5590605654,2.0,61.0,2.0,1,15.0,0.0
Certo Cito 257 AB,5591480610,3.0,40.0,3.0,2,3.0,0.0
Premium Gruppen AB,5568187404,2.0,50.0,5.0,4,4.0,0.0
Borås bygg och industrikonsult AB,5569062424,3.0,44.0,2.0,1,6.0,0.0
OP sprinkler och rörservice AB,5591587901,2.0,58.0,6.0,3,2.0,0.0
BIMensions AB,5591103519,2.0,39.0,2.0,1,5.0,0.0
Aarrepalos Grävtjänst AB,5591829097,2.0,41.0,2.0,1,1.0,0.0
TP Elkonsult Sverige AB,5568169378,4.0,45.0,6.0,2,6.0,0.0
Fastighetskonsult Stranderman AB,5569021081,2.0,41.0,2.0,1,3.0,0.0
FriMo Projektledning AB,5590794672,2.0,44.0,3.0,2,3.0,0.0
FO Marktjänst AB,5592001985,2.0,28.0,2.0,1,0.0,0.0
Mölndals Bilglas AB,5568507148,2.0,51.0,2.0,1,6.0,0.0
Koola Butiker i Sverige AB,5567314215,2.0,48.0,2.0,1,3.0,0.0
West Coast Infrastruktur AB,5592082480,2.0,46.0,2.0,1,1.0,0.0
Lexamo AB,5568537004,2.0,48.0,2.0,1,8.0,0.0
Långedrags El AB,5591588925,2.0,64.0,2.0,1,1.0,0.0
Placeify Property Development AB,5591938161,2.0,58.0,2.0,1,0.0,0.0
OM Design AB,5567074843,2.0,50.0,2.0,1,4.0,0.0
Majornas Entreprenad AB,5569694812,2.0,46.0,2.0,1,4.0,0.0
Next Base AB,5567284327,2.0,39.0,2.0,1,5.0,0.0
Kärna Marinbygg AB,5568747173,2.0,59.0,5.0,3,8.0,0.0
Coning Project AB,5569246456,3.0,53.0,3.0,2,2.0,0.0
Svenska Markavtal AB,5591914816,2.0,50.0,3.0,2,2.0,0.0
One More AB,5590717905,3.0,32.0,4.0,3,2.0,0.0
Incerno AB,5568363930,3.0,58.0,3.0,2,4.0,0.0
Sonnerup Technologies AB,5566357199,2.0,56.0,3.0,2,0.0,0.0
Båstad Tuvelyckan AB,5569687675,10.0,53.0,49.0,48,71.0,0.0
Dynamic El AB,5569024200,2.0,57.0,2.0,1,2.0,0.0
Projektpartner i Väst AB,5568932585,2.0,60.0,9.0,8,6.0,0.0
ZaCapa AB,5590457585,2.0,46.0,2.0,1,1.0,0.0
Mark & Miljö Hydrosense AB,5569966996,2.0,41.0,5.0,4,4.0,0.0
Shard AB,5568455280,4.0,54.0,4.0,1,4.0,0.0
Bevion Group AB,5590418587,9.0,56.0,2.0,1,2.0,0.0
Saltskär Fastighetsutveckling AB,5591318604,2.0,44.0,2.0,1,7.0,0.0
Gudni Bygg AB,5567998215,2.0,52.0,2.0,1,1.0,0.0
Ordasi Bostad AB,5567146328,2.0,37.0,2.0,1,22.0,0.0
Björstorp förvaltnings AB,5566652656,2.0,62.0,5.0,4,9.0,0.0
Tolwers Entreprenad Aktiebolag,5563991966,3.0,50.0,2.0,1,3.0,0.0
Modvion AB,5590682976,6.0,44.0,2.0,1,1.0,0.0
TW:s Byggnadsplåtslageri Aktiebolag,5562690965,3.0,49.0,6.0,5,3.0,0.0
