company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
A Brash AB,5568391519,2,39,Brash; Andrew William,3,1,John G Construction AB|A Brash Stockholm AB|A Brash AB
Aktiebolaget Davidssons Marktjänst,5563155448,2,65,Dyvling; Lars Gustav Håkan,4,1,Maskinring Sörmland Ekonomisk förening|Aktiebolaget Davidssons Marktjänst|Hammarstugans Träd o Trädgård Aktiebolag|GR Dyvling Aktiebolag
Aktiebolaget Deje Byggtjänst,5560736992,2,53,Nilsson; Hans Greger,1,0,Aktiebolaget Deje Byggtjänst
AB Elteam Norrtälje,5567023998,4,53,Johansson; Kent Göran,2,2,AB Elteam Norrtälje|Kent Johansson Invest AB
Aktiebolaget Ericsbergs Säteri,5560519240,6,60,Marker Deichmann; Philip,7,1,Aktiebolaget Ericsbergs Säteri|Ericsbergs Fideikommiss Aktiebolag|Ragnars Gärde AB|Ericsberg Fastighet Katrineholm AB|AB Ericsberg 1|Ericsberg Fastighet Forssjö AB|Ericsberg Fastighet Forseda AB
AB Evelko,5569749137,5,56,Boivie; Kurt Henrik,3,7,Uppsala Teknik & Konsult AB|AB Evelko|Bevelko AB
Aktiebolaget Frölunda Betonggolv,5562013523,2,57,Sjölund; Per Johan,4,6,3steget AB|AB CD BYGG|Aktiebolaget Frölunda Betonggolv|Wera Byggnads AB
Aktiebolaget Gerald Karlsson,5560967712,3,52,Nilsson; Bertil Roger,6,5,Aktiebolaget Gerald Karlsson|Halmstad Bärarelag AB|Tuff & Liten AB|Handelsbolaget Budet Nilsson & Co|Fastighetsaktiebolaget Stenwinkeln|Halmstads Mark & Bygg Aktiebolag
AB Gevert Bergman Bygg & Co,5566157094,4,57,Bergman; Kent Arne,2,0,Kent Bergman Ekonomi AB|AB Gevert Bergman Bygg & Co
AB GMS Plåtslageri,5590075874,2,41,Marczykowski; Grzegorz,2,2,GMS PLÅTSLAGERI|AB GMS Plåtslageri
AB Golv non stop,5567251102,3,47,Thernell; Sven Robert,1,2,AB Golv non stop
AB Golv & Tak,5563128403,4,65,Almberg; Klas Magnus,2,4,AB Golv & Tak|Ekbacken Aktiebolag
AB Golvinteriör,5564121621,4,57,Johansson; Tom Lars Markus,3,1,Golvin AB|AB Golvinteriör|Tom Joh AB
Aktiebolaget Habo Rör,5564933603,3,52,Klasson; Jan Åke,1,2,Aktiebolaget Habo Rör
Aktiebolaget Habo Rör,5564933603,3,52,Klasson; Linda Ingegerd Louise,1,2,Aktiebolaget Habo Rör
Aktiebolaget Halmstad Golvservice,5560968892,nan,nan,Hansson; Magnus,4,4,Sandéns Golv i Ängelholm AB|Sandéns Golv i Halmstad AB|Etagon AB|SH Design och Bygg AB
Aktiebolaget husbyggarna i kungens kurva,5569994840,2,51,Ipek; Mikail,5,4,Aktiebolaget husbyggarna i kungens kurva|Mezo Trading AB|Vittoni group AB|Mezoil Consulting AB|Aktiebolaget 14175 Skärholmen
Aktiebolaget Hus- & Villaträdgårdar Lindstedt & Co,5562801174,3,55,Lindstedt; Fredrik Bo,3,3,F Lindstedt Holding AB|Aktiebolaget Hus- & Villaträdgårdar Lindstedt & Co|BMS Fastighetsförvaltning Aktiebolag
Aktiebolaget Hägglunds Last & Schakt,5562885490,3,68,Hägglund; Mats Mikael,2,3,Aktiebolaget Hägglunds Last & Schakt|Lyckselefrakt Aktiebolag
AB IPS Alarm Direct,5560637448,4,42,Sandström; Magnus Ronnie,3,4,AB IPS Alarm Direct Stockholm|AB IPS Alarm Direct|IPS Alarm Direct Holding AB
AB IPS Alarm Direct,5560637448,4,42,Faltin; Alf Morgan Mikael,3,4,AB IPS Alarm Direct|AB IPS Alarm Direct Stockholm|IPS Alarm Direct Holding AB
Aktiebolaget Isoton,5560652629,2,69,Lundgren; Öyvind Yngve,2,2,Aktiebolaget Isoton|Ö Lundgren Holding AB
Aktiebolaget I3AHCO Service,5563526259,4,61,Lasson; Jan Knut Olof,4,8,Aktiebolaget I3AHCO Service|Economic Thermology i Malmö Aktiebolag|Euroswede Invest AB|JECON Aktiebolag
Aktiebolaget JUNOSUANDO BYGG,5563357937,3,67,Fredriksson; Johan Patric,1,3,Aktiebolaget JUNOSUANDO BYGG
Aktiebolaget Järnforsens Plåtslageri,5561875260,4,63,Erlandsson; Per Martin Kent,1,0,Aktiebolaget Järnforsens Plåtslageri
Aktiebolaget K.G. Karlssons Rörledningsfirma,5560928680,3,53,Frisk; Per Kjell Tommy,2,4,Aktiebolaget K.G. Karlssons Rörledningsfirma|Vaxholms Rör AB
AB Kanova VVS,5567896260,4,40,Riis; Martin Kjell,1,2,AB Kanova VVS
Aktiebolaget Karlskrona Kylservice,5562019546,5,61,Levin; Tomas Kristian,8,17,Aktiebolaget Kristianstads Kylservice|Aktiebolaget Karlskrona Kylservice|Kylel i Kristianstad AB|Levin Holding AB|Levins Fastigheter i Kristianstad AB|Sirius u p a; Fastighetsförening|Levin Leasing AB|Kylrörs Fastighetsbolag i Simrishamn AB
AB Karlssons Bygg & Skorstensservice,5565155651,3,57,Karlsson; Carl Johan Andreas,2,2,Karlzzon Invest Handelsbolag|AB Karlssons Bygg & Skorstensservice
Aktiebolaget KJ:s Maskiner,5563509537,2,49,Jansson; Kenneth Stefan,4,9,AB KJ Väg & Anläggning|Aktiebolaget KJ:s Maskiner|Vallby Gård Holding AB|Sandco System i Uppsala AB
Aktiebolaget Knuttes Rör,5560101312,3,53,Alm; Knutte Hans,2,4,Aktiebolaget Knuttes Rör|Estuna Förvaring AB
Aktiebolaget Krok och Spade Maskinuthyrning,5561554824,6,54,Westman; Lars Mikael,3,3,Mikael Westman AB|M W Lyft & Plåt AB|Aktiebolaget Krok och Spade Maskinuthyrning
Aktiebolaget Kurt-Görans Elektriska,5561546804,2,57,Lundberg; Lars-Göran Peter,2,3,Aktiebolaget Kurt-Görans Elektriska|Kurt Görans Holding AB
Aktiebolaget Lidingö Elektriska,5561006676,4,56,Sevebo Riis; Christina Elisabeth,4,3,Aktiebolaget Lidingö Elektriska|Bostadsrättsföreningen Stockby Hantverksby|IN Stockholm Service AB|Yogagaraget
Aktiebolaget Lindqvist Sanering & Rivningsfirma,5562325026,nan,nan,Bjurestad; David Philip,12,24,Miljörivarna i Skandinavien AB|DRIVE Demolering Riv Entreprenad AB|Spol & Industriservice i Norrköping AB|Betongteamet Riv & Håltagning i Bergslagen AB|FSG Sverige AB|Servicepilen Skåne AB|Xapro AB|Demolit Holding AB|BOLSON AB|FOGTJÄNSTER I SKÅNE AB|Beredningsbart Syd AB|CIS - Holding AB
Aktiebolaget Luleå Glas,5562046853,2,46,Lindgren; Karl Andreas,1,3,Aktiebolaget Luleå Glas
Aktiebolaget Låscentralen E. Borgström,5560700618,2,45,Nettrup; Martin Andreas,3,7,Norrjeviking Förvaltnings AB|3 Martin AB|Aktiebolaget Låscentralen E. Borgström
Aktiebolaget Malmöregionens avlopp,5560734336,12,67,Andersson; Bengt Gunnar Lennart,7,2,House Of Test Consulting AB|Aktiebolaget Malmöregionens avlopp|flow intelligence AB|STRIKE PROJECTS AB|Sharper Analytics AB|HDA Holding AB|Kissing Pigs Holding AB
Aktiebolag Mora Byggservice,5562206572,2,47,Sundqvist; Lars David,2,2,Aktiebolag Mora Byggservice|David Sundqvist AB
Great Security Nacka AB,5562239722,4,52,Grönquist; Thomas Kjell Åke,2,2,BNG Nacka AB|Great Security Nacka AB
AB Byggbeslag Lås & Säkerhet,5561723593,2,52,Eriksson; John Pierre Matthias,10,18,Aktiebolaget Byggbeslag|Bysmeden Lås Aktiebolag|Lås och Säkerhetscenter i Uppsala AB|Lås o Nycklar i Linköping Aktiebolag|Lås & Nyckel i Luleå AB|Låskedjan i Umeå AB|Halmstad Låsservice Aktiebolag|Östersunds Låstjänst Aktiebolag|AB Byggbeslag Lås & Säkerhet|Melida AB
AB Näsum Betonghåltagning,5566358601,4,57,Karlsson; Martin Michael,3,9,AB Näsum Betonghåltagning|Industriförvaltning i Näsum AB|Näsums Invest AB
Opalab Relining AB,5569009953,3,46,Lavrell; Andreas Fredrik,5,3,Nytorps Rör Aktiebolag|Opalab Relining AB|Säker Vatten AB|Effektoptimering Stockholm AB|Nytorp Energy Group AB
Aktiebolaget P.O. Roll,5561900597,3,66,Roll; Lennart Olov,1,0,Aktiebolaget P.O. Roll
AB PERFEKT MÅLERI I GÖTEBORG,5567756811,3,42,Sondell; Mats-Erik Håkan,1,4,AB PERFEKT MÅLERI I GÖTEBORG
Enviroom AB,5569475451,4,46,Eveby; Olof Peter,3,8,Enviroom AB|MÖZ AB|Permansio AB
Aktiebolaget R. A.-Byggen,5560567827,3,62,Andersson; Mats Roger,5,3,Aktiebolaget R. A.-Byggen|Aktiebolag R.A.-Byggens Fastighetsförvaltning|Hans sons Glas AB|Åhus Glasmästeri AB|Byggmästarnas Service Aktiebolag Östra Skåne
AB Rörbjörnen,5567762918,3,43,Hermansson; Björn Göran Christian,5,4,AB Rörbjörnen|DB Contracting AB|Siros Holding AB|Aneko Invest AB|Brick By Brick i Sverige AB
Aktiebolaget Schakt & Transport,5560548751,7,52,Cederwald; Anders Peter,1,3,Aktiebolaget Schakt & Transport
Aktiebolaget Sjömaskiner Katrineberg,5562780311,3,63,Eriksson; Robert Claes Gustaf,3,3,Trosa Hamnservice Aktiebolag|Aktiebolaget Sjömaskiner Katrineberg|SJÖMASKINER HANDELSBOLAG KATRINEBERG
Aktiebolaget Skåne Lås.,5561833202,3,59,Måtegen; Gert-Inge Johan Fernom,2,1,Aktiebolaget Skåne Lås.|Y-säk Konsult AB
AB SKÄRGÅRDSINSTALLATIONER,5568339948,4,50,Bjurholm; Per Magnus Sture,1,8,AB SKÄRGÅRDSINSTALLATIONER
Aktiebolaget Snowtech,5564562352,nan,nan,Mangborg; Jan Olof Kenneth,3,4,Snowtech Industrifastigheter AB|Akka i Sunne AB|SNOWTECH
Aktiebolaget Sollefteå Sprängtjänst,5561548305,2,60,Rohlén; Karl David,1,0,Aktiebolaget Sollefteå Sprängtjänst
AB Solna byggprojekt,5569633794,2,64,Russo De Cerame; Maurizio,1,2,AB Solna byggprojekt
AB Strömstanet,5568520802,10,57,Brocker; Mats Stefan,5,5,Aktiebolaget Strömstadsbyggen|Aktiebolaget Strömstadslokaler|AB Strömstanet|AB Strömstadsgaragen|Brocker & Partners AB
AB Sture Larssons Måleri,5564335056,3,52,Bäckström; Karl Henrik,1,1,AB Sture Larssons Måleri
Aktiebolaget Sundåsens Rör,5561181982,3,60,Norberg; Tony Ingemar,1,0,Aktiebolaget Sundåsens Rör
Aktiebolaget Surahammars Elaffär,5560756800,4,47,Johansson; Erik Benny,4,4,Aktiebolaget Surahammars Elaffär|Lars-Erik Carlssons Eltjänst Efterträdare         Aktiebolag|Fabriken i Surahammar AB|Elbenny i Surahammar AB
AB Svedlunds Byggteknik,5568377641,2,45,Svedlund; Lars Åke Magnus,1,1,AB Svedlunds Byggteknik
AB Svensk Bygg & Förvaltning,5567446058,2,60,Gustafsson; Tony William,4,9,AB Svensk Bygg & Förvaltning|AB Svensk Bygg & Förvaltning Entreprenad|AB OMEGA Bemanning & Rekrytering|AB Svensk Bostad & Förvaltning
AB SVENSK VÄRME,5567382873,3,54,Lundqvist; Jan Roger,2,13,BARNOVA I SVERIGE AB|AB SVENSK VÄRME
Aktiebolaget Såg- & Betongborrning,5563197283,2,42,Elfström; Erik Niclas Valdemar,2,4,Aktiebolaget Såg- & Betongborrning|Kent Niclas Förvaltnings Aktiebolag
Aktiebolaget Truck- och Krantjänst,5560464470,3,40,Johansson; Dag Peter,2,2,Aktiebolaget Truck- och Krantjänst|Truck & Krantjänst Service Aktiebolag
Aktiebolaget Täckdikningar,5560771700,2,51,Johbarn; Nils Gunne Dennis,3,3,Aktiebolaget Täckdikningar|Himledalens Entreprenad AB|Johbarns Grävservice
Aktiebolag Tätskiktsgarantier i Norden,5564529237,5,55,Nilsson; Stig Roger,2,5,Aktiebolag Tätskiktsgarantier i Norden|Easy Systems Svenska AB
AB Vanstad Gräv,5565811956,2,57,Nordquist; Bengt Anders,1,1,AB Vanstad Gräv
Laborator Q AB,5560670217,4,56,Ogenborg; Mats Erik,2,6,Laborator Q AB|Industriaktiebolaget Ventilator
AB VVS och Kylteknik Nord,5567143473,nan,nan,Hultberg; Björn Lennart,6,8,Teknisk Fastighetsservice i Norrland              Aktiebolag|Energi & Driftteknik i Sundsvall AB|Rör & Värmeteknik i Sundsvall AB|Stenstans Värme & Sanitet AB|Solitude Invest AB|Nordmassivet Holding AB
Aktiebolaget Wermlands Byggplåt,5565057832,4,35,Björnlod; Fredrik Emanuel,2,0,Aktiebolaget Wermlands Byggplåt|Fredrik Björnlod Förvaltning AB
AB Årsta Bygg och Entreprenad,5590460985,4,45,Dyckman; Robert,3,2,Södertörns Byggservice AB|AB Årsta Bygg och Entreprenad|AB Sjoestadens Form
AB Östgöta-Byggen,5565464608,3,39,Leijon; Daniel Sven Valentin,3,1,AB Östgöta-Byggen|DSVL Förvaltning AB|TZ Förvaltning AB
ABAB Sverige AB,5568129158,3,58,Lund; Kim Eino,5,3,ABAB Sverige AB|Myrhagen Fastighets AB|Myrhagen Konsult AB|Lund Förvaltning AB|K Lund Invest AB
ABC Franchise AB,5569202327,3,57,Bjelkenstedt; Björn Thomas,12,8,ABC Scaffholding AB|ABC-Ställningsmontage AB|ABC Bygghissar och Byggmaskiner AB|Entreprenadställningar i Stockholm AB|Extern Resurs i Falun AB|ABC Franchise AB|Björntjänst i Haninge AB|AB Stückeln|ABC Recycling AB|Bånudden Fastighets AB|Extern Resurs i Örebro AB|TDM Ekonomi AB
ABC Solutions Nordost AB,5590546080,4,49,Winberg; Christer Patric,9,8,ABC Solutions AB|ABC Solutions Sydsverige AB|ABC Solutions Nordost AB|ABC Solutions Västsverige AB|ABC Engineering One AB|Back to better Fitness AB|A Växter AB|Padelhallen i Arvika Fastighets AB|Beer by Winberg
ABC Solutions Sydsverige AB,5569723322,4,51,Winberg; Christer Patric,9,8,ABC Solutions AB|ABC Solutions Sydsverige AB|ABC Solutions Nordost AB|ABC Solutions Västsverige AB|ABC Engineering One AB|Back to better Fitness AB|A Växter AB|Padelhallen i Arvika Fastighets AB|Beer by Winberg
Abet Stängselteknik AB,5563999209,4,39,Nilsson; Patrik Hans Ove,1,2,Abet Stängselteknik AB
ABIMA Gruppen AB,5562637180,2,36,Ingmansson; Joel Bernt Daniel,3,7,Anna Schill Projects AB|Rocky Invest & Konsult AB|ABIMA Gruppen AB
ABOK AB,5569429508,3,42,Lundsgaard; Bjarke,3,0,Skånska stenhus AB|ABOK Fastigheter AB|ABOK AB
Abrahamsson Snickarservice AB,5568344559,4,47,Abrahamsson; Per Jonas Emil,1,0,Abrahamsson Snickarservice AB
ABTK Anläggning och BetongTeknik Konsult AB,5565820981,3,42,Pantzar; Bror Nils Torbjörn,6,13,ABTK Anläggning och BetongTeknik Konsult AB|ABTK Maskin AB|ABTK Holding AB|Fläskebo Fastigheter Kommanditbolag|Fläskebo 02 AB|Pantzar Entreprenad Aktiebolag
ABTOT MARK OCH ANLÄGGNING AB,5569091548,4,41,Olofsson; Simon Ted Mikael,6,11,ABTOT MARK OCH ANLÄGGNING AB|Sequr Bemanning AB|Lscape Aktiebolag|RSV allservice AB|Slingerbulten Fastighets AB|Simon Olofsson AB
Ac Acrylicon Fogfriagolv AB,5569169021,2,37,Nyh; Nils Micael,4,5,Ac Acrylicon Fogfriagolv AB|MN Bizvision AB|Acrylicon Sverige AB|Industrigolv i Sundsvall AB
AC Byggtjänst i Umeå AB,5568268246,3,44,Sirviö; Erik Andreas,3,6,AC Byggtjänst i Umeå AB|Marcus Jirdén Holding AB|Andreas Sirviö Holding AB
AC Communication Aktiebolag,5565296240,5,47,Månsson; Tord Lennart Emanuel,1,0,AC Communication Aktiebolag
ACDC Elektro AB,5568319320,5,45,Göransson; Hans-Christer,3,13,ACDC Styr & Automation AB|ACDC Elektro Holding AB|ACDC Elektro AB
Ackevis Miljö El AB,5565425088,4,52,Andersson; Per Johan Lennart,5,3,BL El & Design AB|Ostkustens Elektriska Aktiebolag|Ackevis Miljö El AB|Electroteam i Stockholm AB|Bostadsrättsföreningen SPINNROCKEN i JÄRFÄLLA
Acona AB,5568455355,3,64,Lindh; Jan Robert,3,0,SBR Miljöteknik AB|Acona AB|Oiga - Link Alingsås
ACRUX ENTREPRENAD AB,5569064602,3,51,Eriksson; Peter Mikael,8,4,Eneby Bygg i Järna Aktiebolag|JÄRNA EKO INSTALLATIONER AB|Järna Eko El & Styr AB|Färgsatt i Järna AB|ACRUX ENTREPRENAD AB|Inspire Your Life AB|Eneby Real Estate AB|Eneby Holding AB
ACT M&B AB,5568086929,6,42,Karlsson; Karl-Erik Torbjörn,2,2,Flex Fastigheter AB|ACT M&B AB
ACT M&B AB,5568086929,6,42,Meijer; Carl Christian,2,1,Flex Fastigheter AB|ACT M&B AB
Active Works AB,5566764535,2,53,Ahlsén; Erik Tomas,10,44,Active Works AB|SevenFour Projekt AB|Olbia Investment Partners AB|Olbia Hospitality Group AB|Olbia Group AB|Bostadsrättsföreningen Stadsvillorna|SevenFour Invest AB|Tänndalen Properties AB|Olbia Invest AB|NSV Projektutveckling AB
Active Works AB,5566764535,2,53,Solig; Per Göran,16,22,Active Works AB|NL Construction AB|SevenFour Projekt AB|Active Works Maskinuthyrning AB|Solig Holding AB|Barry & Friends AB|Jälla Gård AB|OLBIA Fastigheter AB|Olbia Group AB|NKEX Projekt AB|OLBIA Holding AB|Olbia Investment Partners AB|Olbia Hospitality Group AB|SevenFour Invest AB|Olbia Funäsdalen AB|Olbia Invest AB
Active Ventilation i Göteborg AB,5565851994,3,53,Ryberg; Bengt Olof,3,2,Active Ventilation i Göteborg AB|GÖSAB Sotning AB|GÖSAB-Gruppen AB
Adax AS Filial Norge,5164082033,nan,nan,Dalen; Roger,1,2,Adax AS Filial Norge
Adderalink Motala AB,5569299802,2,58,Gustafsson; Björn Allan,4,0,Adderalink Motala AB|Alatom Bygg AB|Solfjäderstaden Fastigheter AB|Fridensro Förvaltning AB
ADMD BYGG AB,5569048316,2,33,Masteika; Mantas,1,1,ADMD BYGG AB
Adolfssons Bygg i Ingatorp AB,5567819452,2,49,Adolfsson; Karl Peter Bertil,1,0,Adolfssons Bygg i Ingatorp AB
ADP HUS AB,5568569593,2,45,Popescu; Adrian Vasile,5,2,ADP HUS AB|TRANSADRIA|AJ SOLEL AB|PBP Mälardalen 2 Aktiebolag|AVP Hus&Fastigheter AB
Advena Bygg AB,5567091797,2,40,Pedzinski; Maciej Dariusz,3,5,Advena Entreprenad AB|Fästdon Sverige AB|Advena Bygg AB
AF Installation AB,5590503776,2,39,Andersson; Sven Mickael,3,0,Caim AB|AF Installation AB|Mickael.Andersson Rörtjänst
AF Installation AB,5590503776,2,39,Florczyk; Sebastian,1,3,AF Installation AB
AFAB Anläggning AB,5563173813,2,51,Gynnerstedt; Carl Johan Magnus,2,0,AFAB Anläggning AB|Johan Gynnerstedt Holding AB
AFP Elteknik AB,5568058670,3,40,Stålhandske; Hans Erik David,2,2,Elekt Holding AB|AFP Elteknik AB
AG Jompas Glas Aktiebolag,5563995199,2,40,Karlsson; John Henry,3,2,AG Jompas Glas Aktiebolag|JRS Förarutbildning AB|AG - JOMPAS - GLAS
Agén El Aktiebolag,5564090412,4,49,Agén; John Rickard,1,0,Agén El Aktiebolag
AGFS Fastighetsservice AB,5568569262,2,37,Krawczyk; Grzegorz Ryszard,1,0,AGFS Fastighetsservice AB
AH Entreprenad i Stockholm Aktiebolag,5590473996,3,54,Hammarstedt; Anders Lennart,2,0,AH Entreprenad i Stockholm Aktiebolag|A-H Entreprenad
AH Entreprenad i Stockholm Aktiebolag,5590473996,3,54,Hammarstedt; Mikael Martin,1,0,AH Entreprenad i Stockholm Aktiebolag
AHAB Ställningar & Väderskydd AB,5563944452,4,48,Hedin; Erik Anders Staffan,7,6,AHAB Ställningar & Väderskydd AB|A Hedin Fastigheter AB|Hedin Holding AB|ÖKA Holding AB|VÄXXA Holding AB|ITOPP Holding AB|Hedin Capital AB
AHAB Ställningar & Väderskydd AB,5563944452,4,48,Hedin; Erik Andreas,11,2,nan
Ahlin & Delings Elektriska AB,5590195847,4,56,Deling; Mikael Roger,1,1,Ahlin & Delings Elektriska AB
Ahlin & Delings Elektriska AB,5590195847,4,56,Ahlin; Rickard Jonas,1,0,Ahlin & Delings Elektriska AB
Ahlins Plåt Aktiebolag,5563185783,2,57,Pettersson; Leif Andreas,6,8,Ahlins Plåt Aktiebolag|PV Företagen Service AB|Haga Plåt i Umeå AB|Haga Plåt Fastigheter AB|Bobinens Intressenter AB|Yttertavle Förvaltning AB
Ahlqvists Brunnsborrning Aktiebolag,5564083052,4,47,Ahlqvist Backhammar; Andreas Ingemar,2,1,Scandiadrilling AB|Ahlqvists Brunnsborrning Aktiebolag
Ahrling & Östinge Trädgårdsanläggningar Aktiebolag,5561607259,2,75,Östinge; Rolf Erik Lennart,3,15,Föreningen Hantverkaren ek. för.|Burlöv 321 Holding AB|Ahrling & Östinge Trädgårdsanläggningar Aktiebolag
Air 4 You Sweden AB,5569570855,3,51,Karlsson; Tord Fredrik,1,1,Air 4 You Sweden AB
