company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Grand Nordic Byggteknik AB,5591962963,2,34,Fredhav; Dennis,3,2,Fredhav Invest AB|Grand Nordic Byggteknik AB|Fredhav byggkonsult AB
Nyro Konsult & Event AB,5567218085,3,67,Nicklasson; Rolf Olof Herbert,6,51,HSB Bostadsrättsförening Eldaren i Växjö|HSB Bostadsrättsförening Tomtabacken i Växjö|HSB Bostadsrättsförening Räppe kanal i Växjö|Nyro Konsult & Event AB|HSB Bostadsrättsförening Valthornet i Växjö|HSB Bostadsrättsförening Klarinetten i Växjö
VMA Entreprenad AB,5591930952,2,26,Martinsson; Karl Axel Victor,2,1,Bostadsrättsföreningen Sjöbo 3|VMA Entreprenad AB
Hovmantorp Designfabrik AB,5591730956,3,47,Albinsson; Tobias Per Daniel,4,0,S.P.A. - Produkter Aktiebolag|Filterteknik b.w AB|Hovmantorp Designfabrik AB|Sten Albinsson Fastigheter AB
Davidsson Text & Bild AB,5568718554,3,42,Davidsson; Linus Fredrik,1,3,Davidsson Text & Bild AB
Linné Innovation AB,5590891890,2,37,Hajilou; Arvid,2,13,Linné Innovation AB|Nordic Digital Ventures AB
Uddegårds Transport AB,5567367296,2,30,Vilhelmsson; Fredrik Jerker Emil,2,1,Sensergo AB|Uddegårds Transport AB
Riksbostäder Sverige AB,5567493761,3,53,Hvitfeldt; Hans Thomas,5,5,AHK Projektpartner AB|Riksbostäder Sverige AB|Bostadsrättsföreningen Kyrkbyn 43:3|Ytterman Projektutveckling AB|Bostadsrättsföreningen Eklövet Stenhamra
APP Fast 1 AB,5569804056,3,45,Svensson; Anders Lars Erik,53,138,APP Equity AB|Gärahovs Bygg Aktiebolag|APP Fastigheter AB|Hägglundsfastigheterna AB|Greenpipe of Sweden AB|Fintech Republic Group AB|Na No Invest & Finans AB|APP Fast 21 AB|APP Properties AB|Care of VXO AB|APP Fast 5 AB|APP Fast 4 AB|APP Fast 2 AB|APP Fast 7 AB|APP Fast 19 AB|APP Fast 18 AB|Storgatan 18 Fastigheter i Växjö AB|APP Fast 17 AB|APP Spar AB|APP Fast 12 AB|APP Fast 24 AB|APP Fast 8 AB|APP Fast 16 AB|APP Rockstar Management AB|SNAPP of Sweden AB|APP Fast 15 AB|APP Fast 23 AB|APP Fast 20 AB|Greenpipe of Sweden Holding AB|APP Properties Holding AB|APP Fast 9 AB|Atlas Nest AB|APP Fast 1 AB|Omphalos 3 AB|APP Fast 14 AB|Contingimus AB|Omphalos 12 AB|APP Fast 25 AB|APP Fast 11 AB|Omphalos 1 AB|APP Fast 26 AB|APP Fast 28 AB|APP Växjö 1 AB|Katalysator of Kronoberg AB|APP Fast 29 AB|Hofs Park Växjö AB|APP Fast 27 AB|APP Växjö 2 AB|APP Intressenter 1 AB|APP Intressenter 3 AB|APP Intressenter 4 AB|Gärahovs Vänner AB|APP Group AB
Lakeya AB,5568470784,2,72,Forsberg; Bertil Karl-Evert,1,0,Lakeya AB
Aktiebolaget Geranicum,5562810050,3,73,Jeppsson; Nils Valter,3,6,H Danielsson Development Aktiebolag|Djurfarmen Lantbruks Aktiebolag|Aktiebolaget Geranicum
Fröseke Entreprenad o Maskin AB,5568703226,2,46,Gustafsson; Erik Gustaf Ragnar,1,0,Fröseke Entreprenad o Maskin AB
GB Mur & Byggteknik AB,5569826984,3,42,Sjöstrand; Thomas Bengt Daniel,4,2,DT Betong och Byggentreprenad AB|DT Betong och Byggentreprenad Holding AB|GB Mur & Byggteknik AB|DTB Fastigheter AB
N G Larsson Teknik Aktiebolag,5563802361,2,79,Larsson; Nils Gunnar Gerhard,3,1,Fredrik Ståhle Teknik AB|N G Larsson Teknik Aktiebolag|Byggprojekt N-G Larsson
Falk & Son AB,5568957194,3,37,Falk; Anton Fredrik,1,1,Falk & Son AB
Coulant Fastighets AB,5562307685,5,51,Ljungné; Hans Martin Folke,5,12,Nordic Care Holding Aktiebolag|Danneborg Fastighets AB|Client/Server HUB Aktiebolag|Coulant Fastighets AB|Snöleoparden Aktiebolag
KBY BYGG AB,5569593709,3,51,Ottosson; Karl Gustav Lennart,7,4,Lennart Ottosson Bygg & Fastighets Aktiebolag|Korpalycke Bygg Aktiebolag|Ekeberg Förvaltning AB|CR Ottosson Wasa I AB|CR Ottosson Gnistan 3 AB|KBY BYGG AB|CR Ottosson Holding AB
Emellertid AB,5590774369,2,59,Eriksson; John Erik,1,1,Emellertid AB
BIVA Bredband i Värend AB,5566469143,10,59,Karlsson; Mats Åke Birger,3,3,BIVA Bredband i Värend AB|Alvesta Elnät AB|Alvesta Energi AB
BIVA Bredband i Värend AB,5566469143,10,59,Edh; Karl-Erik Håkan,3,0,Alvesta Elnät AB|Alvesta Energi AB|BIVA Bredband i Värend AB
Lenstal Aktiebolag,5564841202,2,76,Lennartsson; Tor Mauritz Lennart,3,2,Saker som jag har i Liatorp Handelsbolag|Lenstal Aktiebolag|Lennartsson i Liatorp AB
Kärnhem Skåne AB,5567083356,3,49,Svensson; Malin Caroline Johanna,40,100,OBOS Sverige AB|Kärnhem Bostadsproduktion AB|Kärnhem Prefab AB|Uzura AB|Kärnhem Svenska AB|Tsushima AB|Kärnhem markprojekt 3 AB|Kärnhem Fastigheter 2 AB|OBOS Kärnhem AB|Kärnhem Utveckling AB|Fastigheten Sollentuna TP 17 AB|MAKE I-node AB|HOVHUS Aktiebolag|Kärnhem markprojekt 6 AB|Kärnhem Skåne AB|Kärnhem Markprojekt 7 AB|Uzura Projektbolag 4 AB|Kärnhem Markprojekt 8 AB|Kärnhem markprojekt 1 AB|Kärnhem markprojekt 2 AB|Kärnhem Gul AB|Uzura Projektbolag 2 AB|Kärnhem Projektbolag 9 AB|KNH Fastigheter AB|KHAF Utveckling AB|KH Kvarter 3 Ekonomisk förening|OBOS Nya Hem AB|Bostadsrättsföreningen Strandvägen i Edsviken 5|Åbysnåret AB|KNH Projektbolag 1 AB|Kams Ormsta AB|Kärnhem markprojekt 5 AB|Kärnhem Sandbyhof Gård AB|Uzura Projektbolag 3 AB|Bostadsrättsföreningen Strandvägen i Edsviken 4|Bostadsrättsföreningen Strandvägen i Edsviken|Kärnhem Edsviken AB|Kärnhem Röd AB|Kärnhem Blå AB|Kärnhem Mitt AB
Entel-Tech Consulting AB,5567964944,3,51,Al-Gburi; Faisal Ibrahim Fayadh,1,1,Entel-Tech Consulting AB
MDM Växjö AB,5590021084,3,46,Johansson; Måns Jonas,34,24,Vida Aktiebolag|Vida Wood AB|Vida Skog AB|VIDA Energi AB|Vida Borgstena AB|Vida Vislanda AB|Vida Packaging AB|Vida Bruza AB|Vida Alvesta AB|VIDA HN AB|Vida Nössemark AB|Vida Urshult AB|Vida Hestra AB|Vida Tranemo AB|Vida Packaging Logistics AB|Cretec AB|Cretec Växjö AB|VIDA Building AB|Cretec Gislaved AB|VIDA Trading Asia AB|Nordic Train AB|J & S Fastigheter i Sverige AB|Småland Padel Society AB|Johansson & Svensson Fastigheter i Vislanda AB|Johansson & Svensson Fastigheter i Älmhult AB|Svarvaremejseln AB|Johansson & Svensson Fastigheter i Öjaby AB|MDM Växjö AB|VIDA VMO AB|EMJ Invest Växjö AB|NKL Invest AB|Småland Padel Society Drift AB|Alvesta 1338 Fastighets AB|VIDA Gransjö AB
Asfaltbeläggningar Blekinge Småland AB,5590549597,4,52,Johansson; Rolf Egon,4,1,Rolf Johanssons Schakt & Transport Aktiebolag|Fagernet ekonomisk förening|Asfaltbeläggningar Blekinge Småland AB|Gräventreprenör Rolf Johansson
Asfaltbeläggningar Blekinge Småland AB,5590549597,4,52,Johansson; Karin Ingegärd Birgitta,4,6,ME-Skolan AB|Rolf Johanssons Schakt & Transport Aktiebolag|Fagernet ekonomisk förening|Asfaltbeläggningar Blekinge Småland AB
GML Sport Anläggning AB,5590928601,3,44,Palmlund; Kristoffer Olof Peter,3,4,GML Sport AB|Svensk Jordelit Aktiebolag|GML Sport Anläggning AB
Es specialsnickeri AB,5590056692,2,51,Svensson; Emil Anders Gunnar,1,1,Es specialsnickeri AB
MP Studio AB,5591114052,3,45,Patterson; Morgan Leigh,1,1,MP Studio AB
MP Studio AB,5591114052,3,45,Johansson; Sabina Mikaela,1,3,MP Studio AB
D.Grundströms Måleri&Snickeri AB,5568999030,2,40,Grundström; Erik Daniel Stefan,2,1,Alvesta Färg & Måleri AB|D.Grundströms Måleri&Snickeri AB
Värends Holding AB,5566383872,4,54,Jakopson; Kim Tina Madelene,4,3,VETA Holding AB|VÄRENDS ENTREPRENAD Aktiebolag|Värends Kontorslokaler AB|Värends Holding AB
Lägesförbättringar Sverige AB,5590395355,2,49,Burman; Fredrik Wilhelm,11,9,A.K. Tvätt & Kylservice i Växjö Aktiebolag|Pernillas Alltjänst i Sala AB|Kristina Burman AB|Smooth Hands AB|Excolo Opportunities AB|Excolo Consulting AB|Excolo AB|Lägesförbättringar Fastighet 1:2 AB|Fastighetsutveckling på Öster AB|AK Tvätt & Kylservice i Växjö Holding Aktiebolag|Lägesförbättringar Sverige AB
Balco Holding AB,5566274964,3,56,Lundahl; Kennet Krister,10,36,Balco Group AB|Balco AB|Lundahl & Hall AB|TBO-Haglinds Aktiebolag|Nordiska Balco Aktiebolag|Balco Invest AB|BF Balkongbranschens Service AB|Anderstorps Hotellfastigheter AB|Kronhjorten och Lodjuret Holding AB|Balco Holding AB
Famera Bostäder 2 AB,5591724330,2,56,Erlandsson; Carl Johan,10,5,Famera Lokaler 1 AB|Famera Lokaler 3 AB|Famera Bostäder 1 AB|Famera Lokaler 4 AB|Famera Lokaler 2 AB|Famera Lokaler 5 AB|Famera Skola 1 AB|Famera Bostäder 2 AB|Famera Fastigheter AB|Famera Lokaler 6 AB
Crickes Bygg AB,5569157679,2,46,Olsson; Sven Christian Henrik,3,1,Crickes Bygg AB|Cazpino AB|Cazpino Holding AB
Kärnhem Mitt AB,5567055982,3,49,Svensson; Malin Caroline Johanna,40,100,OBOS Sverige AB|Kärnhem Bostadsproduktion AB|Kärnhem Prefab AB|Uzura AB|Kärnhem Svenska AB|Tsushima AB|Kärnhem markprojekt 3 AB|Kärnhem Fastigheter 2 AB|OBOS Kärnhem AB|Kärnhem Utveckling AB|Fastigheten Sollentuna TP 17 AB|MAKE I-node AB|HOVHUS Aktiebolag|Kärnhem markprojekt 6 AB|Kärnhem Skåne AB|Kärnhem Markprojekt 7 AB|Uzura Projektbolag 4 AB|Kärnhem Markprojekt 8 AB|Kärnhem markprojekt 1 AB|Kärnhem markprojekt 2 AB|Kärnhem Gul AB|Uzura Projektbolag 2 AB|Kärnhem Projektbolag 9 AB|KNH Fastigheter AB|KHAF Utveckling AB|KH Kvarter 3 Ekonomisk förening|OBOS Nya Hem AB|Bostadsrättsföreningen Strandvägen i Edsviken 5|Åbysnåret AB|KNH Projektbolag 1 AB|Kams Ormsta AB|Kärnhem markprojekt 5 AB|Kärnhem Sandbyhof Gård AB|Uzura Projektbolag 3 AB|Bostadsrättsföreningen Strandvägen i Edsviken 4|Bostadsrättsföreningen Strandvägen i Edsviken|Kärnhem Edsviken AB|Kärnhem Röd AB|Kärnhem Blå AB|Kärnhem Mitt AB
JSB CONSTRUCTION AB,5564011756,5,66,Fredholm; Cid Pether,20,27,JSB CONSTRUCTION AB|JSB Gruppen AB|ID06 AB|Vaultit AB|JSB Syd AB|elevID06 AB|Minjar AB|JSB PROJECT AB|SBU Svensk Bostadsutveckling AB|JSB Project i Malmö AB|JSB Project i Växjö AB|Kommanditbolaget Skåneb nr 1|JSB Trygga Boendet AB|JSB Fastighet i Blekinge AB|Bostadsrättsföreningen Rosenvindan|JSB Project Holding AB|JSB Fastighet Rosenvindan AB|JSB Fastighets AB|JSB Bostadsutveckling Holding AB|SBU Framtid AB
JSB Gruppen AB,5564123494,2,62,Fredholm; Cid Pether,20,27,JSB CONSTRUCTION AB|JSB Gruppen AB|ID06 AB|Vaultit AB|JSB Syd AB|elevID06 AB|Minjar AB|JSB PROJECT AB|SBU Svensk Bostadsutveckling AB|JSB Project i Malmö AB|JSB Project i Växjö AB|Kommanditbolaget Skåneb nr 1|JSB Trygga Boendet AB|JSB Fastighet i Blekinge AB|Bostadsrättsföreningen Rosenvindan|JSB Project Holding AB|JSB Fastighet Rosenvindan AB|JSB Fastighets AB|JSB Bostadsutveckling Holding AB|SBU Framtid AB
Asfaltbolaget Sverige AB,5566549944,4,53,Svensson; Åke Gillbert,5,4,Asfaltbolaget Sverige AB|Entreprenad & Skog Sverige AB|Karlskrona Solpark Drift ek. för.|BeGrit AB|Jämjö Padelcenter AB
Sydställningar i Sölvesborg Aktiebolag,5562084292,4,46,Möllebro; Maths Jonas,5,5,Sydställningar i Sölvesborg Holding AB|Sydställningar i Sölvesborg Aktiebolag|Yngvestigen AB|Syds Fastigheter i Jönköping AB|Heab Sydställningar AB
Flextronics International Sweden AB,5565134797,3,49,Bergström; Hans Andreas,5,6,Flextronics International Sweden AB|Johannesson & Bergström AB|Swedform Enclosure Systems AB|Flextronics International Östersund AB|Flextronics Östersund AB
Dynacon Construction Blekinge AB,5568282700,4,61,Andersson; Dan Joakim,4,4,Dominus Förvaltning AB|Dynacon Construction Blekinge AB|Blekinge Byggmästareförenings Service Aktiebolag|Apil Holding AB
Baga Water Technology AB,5564455557,4,65,Ellis; Patrik Wilhelm,2,6,Drain Fields Patents AB|Baga Water Technology AB
Baga Water Technology AB,5564455557,4,65,Pettersson; Hans Georg,2,3,Pecati AB|Baga Water Technology AB
HEM1 Sydost AB,5567876841,3,52,Löfqvist; Erik Gunnar Mikael,6,28,HEM1 Sydost AB|Grimstorps Byggkomponenter AB|Skärgårdsudden AB|Knipehall i Karlskrona AB|LA Sydost Förvaltning AB|Mitoesbo AB
Elcommunication Sweden AB,5565823753,4,44,Nilsson; Sven Anders Örjan,6,5,Elcommunication Sweden AB|ERNIMA AB|MAPA Kyl&Värmepumpservice AB|Bredbandsteknik 2000 i Karlshamn AB|Bräkne-Hoby Elektriska Aktiebolag|Sydost-El i Karlskrona Aktiebolag
Garnborns Åkeri och Maskin Aktiebolag,5561841411,3,58,Liljegren; John Torsten Joachim,1,0,Garnborns Åkeri och Maskin Aktiebolag
ELIAS Syd AB,5566717780,5,58,Eliasson; Olle Ingmar,7,20,ELIAS Sweden AB|ELIAS Syd AB|SMEAN AB|ElCommunication i Sydost Aktiebolag|HOBY BYGG AB|ELIAS Invest AB|HOBY Sol AB
ELIAS Syd AB,5566717780,5,58,Eliasson; Sven Richard Andréas,4,27,ELIAS Sweden AB|ELIAS Syd AB|SMEAN AB|ElCommunication i Sydost Aktiebolag
PMB Construction Sverige AB,5567652572,6,46,Mörnhed; Pär Martin,12,8,PMB Construction Sverige AB|PMB Construction Byggservice AB|Spigg Fastigheter AB|Blekingemålarna AB|PMB Fastigheter Karlshamn AB|ARTIFICIO Fastigheter AB|Polhems Port AB|Pär Mörnhed Holding AB|Pär Mörnhed Fastigheter AB|Patrik Nilsson Sverige AB|Bostadsrättsföreningen Nattviolen|Kv Duken Karlshamn AB
Viron Group AB,5563299022,2,50,Bagge; Magnus Joakim,9,24,Viron Group AB|EMOR AB|Photomic AB|Kungsfoto AB|Collage Foto i Örebro AB|Sveriges Elevfotografers Riksförbund              Service Aktiebolag|Baggelito AB|Exakta Photo AB|Sveriges Elevfotografers Riksförbund              Ekonomisk förening
El & Informationsteknik Blekinge AB,5566207980,3,56,Johansson; Ulf Thomas,3,5,THJO Holding AB|El & Informationsteknik Blekinge AB|Secpart AB
Anders Rudolfsson Entreprenad Byggprojekt AB,5568891153,2,46,Rudolfsson; Carl Erik Anders,5,0,Anders Rudolfsson Entreprenad Byggprojekt AB|Anders Rudolfsson Entreprenad Holding AB|Anders Rudolfsson Entreprenad Förvaltning AB|Anders Rudolfsson Entreprenad Fastighet AB|Strandplan AB
Network Solutions Blekinge AB,5567288229,3,47,Andersson; Jan Emil Andreas,3,4,Network Solutions International AB|Network Solutions Blekinge AB|Swedak AB
Projektbyggaren i Blekinge AB,5563055192,4,54,Svensson; Per Håkan,4,8,Projektbyggaren i Blekinge AB|Projektbyggaren Teknik Syd AB|JA Ark Syd AB|Projektbyggaren Utveckling Syd AB
Projektbyggaren Teknik Syd AB,5562811280,3,52,Wichlaj; Mikael,4,6,Projektbyggaren i Blekinge AB|Projektbyggaren Teknik Syd AB|JA Ark Syd AB|Projektbyggaren Utveckling Syd AB
Syd Communication & Security AB,5567252837,2,38,Olsson; Jan Erik Roger,3,1,Syd Communication & Security AB|Blekinge Industrifastigheter AB|Blekinge Konsult & Invest AB
Sandbäckens Rör i Ronneby AB,5590181300,3,49,Johansson; Sonny Ingemar Lennart,2,0,SonJoh Invest AB|Sandbäckens Rör i Ronneby AB
HOLJE EL Aktiebolag,5560500042,2,58,Örkner; Kent Ove Mathias,1,10,HOLJE EL Aktiebolag
Sandbäckens Industri Syd AB,5590310644,4,57,Molin; Mats Stefan,1,0,Sandbäckens Industri Syd AB
Sydost Dörr AB,5569855389,2,46,Gustafsson; Henrik Rune Olof,1,0,Sydost Dörr AB
P.E. Sundins Plåtslageri Aktiebolag,5561311159,2,55,Zettergren; Robert Daniel Philip,4,5,P.E. Sundins Plåtslageri Aktiebolag|Clas Zettergren Förvaltning AB|Daniel Zettergren Förvaltning AB|Förvaltnings AB Zettergren
Kranlyft i Karlshamn AB,5565669099,2,44,Ternström; Robin Leonard,4,3,Kranlyft i Karlshamn AB|Thernströms förvaltnings AB|Fastighetsbolaget Munkahus i Karlshamn AB|LT Holding i Karlshamn AB
Ronneby Färg AB,5568522881,4,56,Nilsson; Karl Martin,13,9,Färghuset Österport AB|Benny Nilssons Byggnads Aktiebolag|Strömmafastigheter i Karlshamn AB|Ronneby Färg AB|Rosengrens Färgcenter AB|Nya Ohrstedts Färg AB|Benny Nilssons Fastighets AB|Hazelavellana AB|Ronneby Färgfastigheter AB|Karlshälls Fastigheter AB|Aktiebolaget Karlshälls Granitindustri|Berto Fastigheter AB|Mieåns vattenregleringsförening utan personlig    ansvarighet
Solect Power AB,5567817704,2,50,Åman; Ulf Ingmar Magnus,4,0,Solect Power AB|BlekingeSol AB|Vilshults Kraft AB|HOBY Sol AB
Solect Power AB,5567817704,2,50,Åman; Anna Malin,3,8,BlekingeSol AB|Vilshults Kraft AB|Solect Power AB
Kran & Transport i Blekinge AB,5566748728,2,55,Johansson; Erik Johan Tobias,2,0,Kran & Transport Blekinge Holding AB|Kran & Transport i Blekinge AB
Niklassons Glas Aktiebolag,5564923067,3,43,Karlsson; Tomas Gunnar,2,0,TSJ-konsult i Karlskrona AB|Niklassons Glas Aktiebolag
Motum Hiss Syd AB,5569958787,3,55,Eliasson; Anders Fredrik,14,29,Motum AB|Hissgruppen Sverige AB|Nordisk Hiss AB|I.T.K. Intern Transport Kommunikation Aktiebolag|Vinga Hiss AB|Uppsala Lyftservice AB|Hisscentralen Närke AB|Nordisk Hiss i Värmland AB|Motum Port AB|Motum Hiss Syd AB|Miljörivarna i Skandinavien Holding AB|Positiv Säljutveckling Konsult i Växjö AB|Positiv Säljutveckling Förvaltning i Växjö AB|FRELI Invest AB
ONB Bygg AB,5569391948,2,46,Nilsson; Ola Patrik,4,3,ONB Bygg AB|Hörviks Hamnar Ekonomisk förening|Ola Nilsson Holding AB|Norrskoga Fastigheter AB
Måleribolaget i Karlshamn AB,5565981510,3,52,Mattisson; Jan Conny Magnus,2,2,Måleribolaget i Karlshamn AB|Jämshögs Måleri Aktiebolag
PMB Construction Byggservice AB,5590463369,3,47,Persson; Johan Henry,1,1,PMB Construction Byggservice AB
Plåtslagaren i Kallinge AB,5567723506,2,44,Eriksson; Jarl Mats Roger,4,4,Plåtslagaren i Kallinge AB|Fulsnygg AB|Bygg o Fastighet Sydost AB|Borgmästaregården; ekonomisk förening
JA Ark Syd AB,5565981171,3,52,Wichlaj; Mikael,4,6,Projektbyggaren i Blekinge AB|Projektbyggaren Teknik Syd AB|JA Ark Syd AB|Projektbyggaren Utveckling Syd AB
Soda AB,5569228066,2,51,Åkerlund; Eva-Lotta Lena Christina,1,0,Soda AB
Soda AB,5569228066,2,51,Åkerlund; Karl Fredrik,2,0,Soda AB|Sydost dyk och anläggning
Lång & Kort AB,5566889258,2,34,Lundström; Sven Markus,1,4,Lång & Kort AB
TRT Gruppen AB,5590516471,2,46,Svensson; Paul Thony Mikael,1,2,TRT Gruppen AB
L.J. Oljeledningar Aktiebolag,5562133503,4,43,Lägnert; Bengt Stefan,1,1,L.J. Oljeledningar Aktiebolag
JSB Syd AB,5565104022,2,62,Fredholm; Cid Pether,20,27,JSB CONSTRUCTION AB|JSB Gruppen AB|ID06 AB|Vaultit AB|JSB Syd AB|elevID06 AB|Minjar AB|JSB PROJECT AB|SBU Svensk Bostadsutveckling AB|JSB Project i Malmö AB|JSB Project i Växjö AB|Kommanditbolaget Skåneb nr 1|JSB Trygga Boendet AB|JSB Fastighet i Blekinge AB|Bostadsrättsföreningen Rosenvindan|JSB Project Holding AB|JSB Fastighet Rosenvindan AB|JSB Fastighets AB|JSB Bostadsutveckling Holding AB|SBU Framtid AB
SAFE Byggnadsställningar i Sölvesborg AB,5568349285,4,41,Nilsson; Johan Christian,2,2,Hörvik Nabben Fastigheter AB|SAFE Byggnadsställningar i Sölvesborg AB
Bengt Göransson Rör Aktiebolag,5563632875,2,57,Hilmersson; Bengt Stefan,3,8,Stig Hilmersson Elservice Aktiebolag|Bengt Göransson Rör Aktiebolag|B Hilmersson KBT Konsult AB
CLN Plåtslageri AB,5566719380,3,33,Schalin; Christian Lennart,3,5,CLN Plåtslageri AB|SCHALIN Fastighet AB|MRN Maskin AB
SMEAN AB,5567286710,3,53,Eliasson; Franz Daniel Severin,4,11,ELIAS Sweden AB|SMEAN AB|ElCommunication i Sydost Aktiebolag|HOBY BYGG AB
Secpart AB,5567455315,3,56,Johansson; Ulf Thomas,3,5,THJO Holding AB|El & Informationsteknik Blekinge AB|Secpart AB
Daniel&Martins Måleri AB,5590499736,4,35,Angeänger; Per Martin,1,1,Daniel&Martins Måleri AB
Ketz Entreprenad & Service AB,5569427973,2,55,Ketzénius; Johan Christian Leif,4,1,Ketz Entreprenad & Service AB|TRIFOLA UNION Handelsbolag|Ytpapp Syd AB|Ketz Holding AB
ESSE Entreprenad o Maskin i Ronneby AB,5590683297,3,40,Garnborn; Carl-Anders,2,0,ESSE Entreprenad o Maskin i Ronneby AB|ESSE Maskin
Hasslö Spräng & Mark AB,5567313316,2,56,Olsson; Sven Anders,2,2,Handelsbolag Block & Skut|Hasslö Spräng & Mark AB
Johnny Bengtssons Bygg AB,5563577088,2,61,Bengtsson; Inge Jonny,3,4,Hemsjö Bygg AB|Johnny Bengtssons Bygg AB|Bengtssons Handel & Partilager
Mur & Betong i Mörrum AB,5568214539,2,50,Jönsson; Sten Bennrik,1,1,Mur & Betong i Mörrum AB
Tores Byggtjänst Backaryd AB,5569549255,2,66,Hellberg; Tore Lennart Peter,2,1,Tores Byggtjänst Backaryd AB|Tores Byggtjänst Backaryd
Marcus Magnusson Måleri AB,5567991202,2,62,Magnusson; Lars Marcus,1,2,Marcus Magnusson Måleri AB
Målarmäster i Karlshamn AB,5568161060,2,52,Tengius; Bo Eve Patrik,1,2,Målarmäster i Karlshamn AB
Rörteknik Blekinge AB,5590762711,2,36,Nilsson; Paul Jonathan Ken,1,1,Rörteknik Blekinge AB
Elfirman i Västra Blekinge AB,5590120688,4,31,Andersson; Per Anders Joakim,1,1,Elfirman i Västra Blekinge AB
El & Besiktningstjänst KMB AB,5568713373,2,51,Briskog; Kent Magnus,2,1,Bazinga Invest AB|El & Besiktningstjänst KMB AB
Asarums Bygg och Fastigheter AB,5590769468,2,42,Grahm; Paul Anders,1,1,Asarums Bygg och Fastigheter AB
Happy Homes Entreprenad Karlskrona AB,5569065922,3,52,Andersson; Kent Ingvar Patrik,3,5,Happy Homes Entreprenad Karlskrona AB|Happy Homes Karlskrona AB|Håkanssons Färg i Karlskrona AB
Olaussons Byggtjänst AB,5590479308,2,51,Olausson; Mats Erik,4,0,Karlshamns Hamn Aktiebolag|Olaussons Byggtjänst AB|Karlshamn Kombiterminal AB
Kubicom AB,5568373079,4,48,Andersen; Atle Steinar,3,15,BEAST AB|Kubicom AB|Skolon AB
Gered Rundquist Konsult Aktiebolag,5564846151,2,43,Rundqvist; Bo Gered,1,9,Gered Rundquist Konsult Aktiebolag
Dyk- och Marktjänst i Sölvesborg AB,5566735873,2,54,Böckman; Roger Lars Inge,1,1,Dyk- och Marktjänst i Sölvesborg AB
Leifs Maskin & Entrep. Jemsunda AB,5569926487,2,46,Andersson; Leif Christer,2,0,Leifs Maskin & Entrep. Jemsunda AB|Leifs Maskin och entreprenad Jemsunda
Heden&Co AB,5590363239,2,62,Hed‚n; Ute Karin Beate,2,3,Heden&Co AB|Heden&Co Handelsbolag
eM-Productions i Blekinge AB,5569809873,2,46,Gustafsson Lovén; Ann Malin Carita,3,8,eM-Productions entreprenad AB|eM-Productions i Blekinge AB|Sax och Slagverk Malin Gustafsson
M. Nilsson Elektriska Aktiebolag,5561296301,2,62,Olsson; John Ingemar,2,0,M. Nilsson Elektriska Aktiebolag|El-Byrån; Ingemar Olsson
Special-Entreprenad i Syd AB,5566459136,3,47,Hansson; Ola Patrik,1,3,Special-Entreprenad i Syd AB
Entreprenad o Trading i Karlshamn AB,5567071807,2,66,Svensson; Pär Olof Olle,2,7,Riksbyggen Bostadsrättsförening Karlshamnhus nr 5|Entreprenad o Trading i Karlshamn AB
Assarsson Svensson Målerifirma AB,5591557946,3,45,Assarsson; Daniel Håkan,1,0,Assarsson Svensson Målerifirma AB
JM Låsservice AB,5590502208,2,40,Miller; Jörgen Alexius,1,1,JM Låsservice AB
