name,id,number_of_board_members,avg_age_of_board,total_active_assignments,total_prev_assignments
Brokvarns VVS Aktiebolag,5565032058,2,60,nan,nan
Brolack Aktiebolag,5563751220,2,64,3,0
Brolins Glas Aktiebolag,5561637694,2,60,nan,nan
Brolins Rör AB,5565335881,,,2,6
Bromma Akustikteknik AB,5569918138,2,46,nan,nan
Bromma Bygg & Förvaltning AB,5567821599,2,41,2,3
Bromma Byggproduktion AB,5590729157,2,42,2,1
Bromma Högtryck Aktiebolag,5563114262,3,49,4,2
Great Security Bromma AB,5563369916,3,51,nan,nan
Bromma Måleri Aktiebolag,5562545375,3,47,3,5
Bromstens El AB,5566714316,2,59,nan,nan
Bromölla Fritidscenter AB,5568624075,8,53,4,14
Bromölla Ställningsmontage Aktiebolag,5563601672,3,57,nan,nan
Bromölla Tak AB,5561292078,2,61,nan,nan
Broomé & Sandberg Rörservice Aktiebolag,5562026301,2,50,nan,nan
Bror Ericson Målerifirma i Göteborg Aktiebolag,5561007542,3,59,nan,nan
Bror Ericson Målerifirma i Uddevalla Aktiebolag,5561089334,3,50,nan,nan
Bror Olsson & Söner i Kungsör Aktiebolag,5560852831,2,63,nan,nan
Brorssons Grävservice i Västervik AB,5567833529,2,55,nan,nan
BROS AB,5569804015,2,31,nan,nan
Broskog Byggnads AB,5566801840,2,75,nan,nan
Brossen AB,5566959648,3,50,nan,nan
Brostigen Förvaltnings AB,5564171352,4,57,3,5
Broströms Gotland AB,5568403165,2,44,nan,nan
BROTTSTA Bygg Aktiebolag,5564474343,2,50,nan,nan
BROVO FÖRVALTNING AB,5565234993,2,58,nan,nan
Browax AB,5567112767,3,60,nan,nan
BroWest Bygg & Inredning AB,5565212197,4,59,nan,nan
BRS International AB,5591110290,5,42,19,15
Brucessons Gräv & Entreprenad AB,5568444904,3,34,nan,nan
Bruksvallarnas VVS AB,5568229255,2,46,nan,nan
Brunberg Entreprenad AB,5566101902,2,42,nan,nan
Brunbäck Anläggning AB,5569086985,2,52,nan,nan
Brunelius Måleri AB,5590260443,2,59,nan,nan
Brunflo Måleri AB,5565808762,2,66,nan,nan
Brunna VVS AB,5569478885,3,41,2,1
Brunns Elentreprenad AB,5567701494,2,62,nan,nan
Brunns & Energiborrning SK Tranås AB,5566669031,2,48,nan,nan
Brunnsborrarna Ederwall & Eriksson Aktiebolag,5562427400,2,61,nan,nan
Brunnsborrarna i Östersund Aktiebolag,5565863098,3,54,2,5
Brunnsborrarna Rehn & Sjöberg Aktiebolag,5564793023,2,57,nan,nan
Brunnsborrning och transport i Linköping AB,5569774382,3,44,nan,nan
Brunos Golv; Bygg och Gräv AB,5569425845,2,50,nan,nan
Brunskogs Elektriska Edane Rör AB,5563338507,2,54,5,3
C4 Entreprenad AB,5590389432,3,57,1,3
Bryggkompaniet i Mälardalen AB,5563829232,2,56,nan,nan
Bryngels AB,5567003339,3,49,7,7
Bryns El Tele & Data AB,5566655980,2,52,nan,nan
Brynäs Glas AB,5567002638,2,59,nan,nan
Brålanda Byggnadsfirma AB,5568302821,3,48,nan,nan
Brålunden Bygg AB,5590825963,2,35,nan,nan
Bråstaborg Villor AB,5569857617,2,67,nan,nan
Bräcke Bo-Service Aktiebolag,5565770814,2,43,nan,nan
Bräcke Byggservice AB,5568056658,2,46,nan,nan
Slutplattan STOJP 107708 AB,5590148168,,,nan,nan
BRÄCKE KOMMUN,2120002460,,,nan,nan
Brämhults Bygg & Smide Aktiebolag,5563422194,3,55,nan,nan
Brämhults Plåtslageri AB,5590058086,,,nan,nan
Brämmesås Entreprenad AB,5568430655,2,57,nan,nan
Bränd's Betong och Anläggningskonsult AB,5567254247,2,51,nan,nan
Brändö Schakt Aktiebolag,5563445088,3,64,nan,nan
Brändöns Byggservice AB,5567291223,2,61,nan,nan
Brändöns Rör AB,5567462873,2,45,nan,nan
Bränninge Entreprenad AB,5568455827,3,55,7,5
Bränninge Utvecklings AB,5566737838,3,55,nan,nan
Brännö Bygg & Spräng Aktiebolag,5567328389,2,76,nan,nan
Bröd. Mathiassons Åkeri Aktiebolag,5561885301,2,55,nan,nan
Bröderman Holding AB,5567322465,2,60,3,3
Bröderna Almarssons Åkeri Aktiebolag,5561063602,2,63,nan,nan
Bröderna Andersson Bygg i Vinnö AB,5567949531,3,64,nan,nan
Bröderna Andersson Måleri Aktiebolag,5568454648,2,55,nan,nan
Bröderna Anderssons Glasmästeri Aktiebolag,5564172509,3,51,nan,nan
Bröderna Backs Måleri Aktiebolag,5565397774,3,59,nan,nan
Bröderna Bengtssons Rör Aktiebolag,5562238526,2,52,2,0
Bröderna Bergström Gräv & Schakt i Gävle          Aktiebolag,5565034971,4,60,nan,nan
Syds Fastigheter i Jönköping AB,5561195008,4,46,5,5
Bröderna Blombergs Entreprenad Aktiebolag,5564171774,2,64,nan,nan
Bröderna Broo Entreprenad AB,5566396445,3,49,nan,nan
Bröderna Bygg & Ställningar AB,5569839359,,,nan,nan
Bröderna Clarén Aktiebolag,5564841871,2,66,nan,nan
Bröderna Dahls Byggnadsställningar AB,5568492416,3,35,nan,nan
Bröderna Edmo AB,5567283527,3,56,nan,nan
Bröderna Foros Gräv & Schakt AB,5569630501,3,43,nan,nan
Bröderna Gustafssons Smide Aktiebolag,5561438549,2,61,nan,nan
Bröderna Hamrén AB,5567922272,3,39,nan,nan
BRÖDERNA HOLMSTRÖM OMBENNING,9790003108,,,nan,nan
Bröderna Holmström Ombenning AB,5568501885,2,53,nan,nan
Bröderna Högbergs Rör AB,5566761077,2,52,nan,nan
BRÖDERNA JANGLÖVS BERGSPRÄNGNING HANDELSBOLAG,9166167537,2,57,nan,nan
Bröderna Jonssons Åkeri i Holmsund Aktiebolag,5562428523,2,77,nan,nan
Bröderna Jöngrens Jordbruk & Entreprenad          Aktiebolag,5568601784,4,53,nan,nan
Bröderna Kollbergs Grävmaskiner Aktiebolag,5560210121,7,63,nan,nan
Bröderna Larsens Måleri AB,5567693493,3,56,1,1
Br. Lindbergs Plåtslageri Aktiebolag,5562474584,3,62,nan,nan
Bröderna Lindgrens Byggnadsaktiebolag,5564451879,2,42,nan,nan
Bröderna Lindströms Bygg AB,5568603707,2,41,nan,nan
Bröderna Lundbergs Gräv Aktiebolag,5563646297,3,66,nan,nan
Bröderna Lövgren Bygg AB,5568249709,3,43,nan,nan
Bröderna Magnusson Bygg Tjörn AB,5567514103,2,62,nan,nan
Bröderna Mur & Puts AB,5567394860,2,39,nan,nan
Bröderna Norström Byggnads Aktiebolag,5561324509,2,54,2,0
Bröderna Persson Håltagning & Rivning AB,5568471345,3,52,nan,nan
Bröderna Persson i Långsele AB,5569077364,2,44,nan,nan
Bröderna Perssons Bleck- & Plåtslageri Aktiebolag,5561229633,2,60,5,3
Bröderna Rosells Plåtslageri Aktiebolag,5562152990,2,63,nan,nan
Bröderna Sanders Bygg Handelsbolag,9697506542,2,36,nan,nan
Br. Sjöholms Plåtslageri Aktiebolag,5561962159,2,46,nan,nan
Bröderna Sundqvist Rör Aktiebolag,5564383056,4,62,1,0
Bröderna Svenssons Byggnads Aktiebolag,5562140656,3,63,nan,nan
Bröderna Thunströms Måleri Aktiebolag,5563778074,4,62,4,6
Bröderna Tång Aktiebolag,5565288080,2,44,nan,nan
Bröderna Viklunds Måleri o Mattor Aktiebolag,5562864933,2,30,2,0
Bröderna Westin Specialbeläggningar AB,5569671513,2,52,10,9
Bröderna Öberg i Eggvena AB,5569394454,3,47,nan,nan
Bröderna Österlund Schakt och Entreprenad i       Hammarstrand Aktiebolag,5562268085,3,47,1,2
BS Agro Aktiebolag,5566070982,4,51,2,0
BS Bostäder i Luleå AB,5567388524,3,61,nan,nan
BS Entreprenad AB,5566154901,3,57,nan,nan
BSAB OÛ,5020784012,,,nan,nan
BST Brandskyddsteamet Mitt AB,5569068603,,,nan,nan
BST Entreprenad & Konsult AB,5567731467,4,46,nan,nan
BT Bodingh Byggnads AB,5568479603,2,53,nan,nan
BT Miljöbygg AB,5568772619,3,39,nan,nan
BT Ventilation AB,5566247952,2,43,nan,nan
Linksys Sweden No 5 AB,5568432511,,,nan,nan
BTC Markentreprenader i Luleå AB,5566535240,2,49,nan,nan
BTE Bygg-Teknik Entreprenad Aktiebolag,5564666757,2,57,nan,nan
BTF mark & trädgård AB,5564618253,3,52,4,6
BTG Demol Aktiebolag,5562926427,2,37,nan,nan
BTP Sweden AB,5567755029,2,42,nan,nan
BTS Golvfixar'n Aktiebolag,5566854484,3,58,1,4
BTS Rörteknik AB,5568804057,2,48,nan,nan
BTT Rivningsspecialisten AB,5568588106,2,53,nan,nan
Budo Bygg AB,5590553953,2,39,nan,nan
Building Management Systems Technology & Green    Tech Solutions AB,5565610291,3,58,1,4
Building Performance Sweden AB,5568646748,2,45,nan,nan
Buildup Nordic AB,5590641451,3,45,nan,nan
Buildy AB,5567831606,2,49,nan,nan
Buir AB,5567880082,3,64,nan,nan
Bukefal Bygg & Design AB,5590617378,2,49,nan,nan
Extern Resurs i Falun AB,5562333954,3,63,12,8
Bullarens Rör AB,5567900674,2,45,nan,nan
Bullens Marktjänst AB,5590317706,2,30,1,1
Bullmarks Isoleringsservice AB,5566853320,2,49,nan,nan
Buneco AB,5567494181,2,53,nan,nan
Bunova AB,5569953788,2,36,nan,nan
Bureca Proffsen AB,5568817117,2,56,6,2
BURLÖVS KOMMUN,2120001025,,,nan,nan
Burås Bygg AB,5568988298,2,40,nan,nan
Bushati Måleri AB,5569754491,2,33,1,1
BussElektro Syd AB,5568251911,3,49,nan,nan
Butiksetablering Öst AB,5590432984,3,49,5,3
ButiksGruppen i Norden AB,5590593041,3,51,nan,nan
Butiksservice i Göteborg AB,5565858650,3,52,nan,nan
Butiksteknik i Väst AB,5567881148,3,52,3,12
Butler Elteknik Service AB,5568756034,4,42,nan,nan
Buwa AB,5568708795,2,61,nan,nan
BUY BEST SOLUTIONS APS,5020723614,,,nan,nan
BVA Bygg- och Industriservice AB,5569318743,4,51,1,0
OVK Specialisten Norr & Söder AB,5568948540,2,42,nan,nan
BVK Montage AB,5569794786,3,49,6,3
BVS Burman Värme & Sanitet AB,5568985591,2,50,nan,nan
BVS Stockholm AB,5568315617,2,41,nan,nan
BW Elektropartner International Aktiebolag,5565692364,2,57,nan,nan
BWN Bygg AB,5567443337,2,53,nan,nan
Bydalens Golv Aktiebolag,5561967224,2,67,nan,nan
Bye plåtslageri Aktiebolag,5562918994,3,61,nan,nan
Bygdeå Byggnadsfirma AB,5567484612,2,44,nan,nan
Byggaktiebolaget B.F.V i Jönköping,5563660140,2,58,nan,nan
Byggaktiebolaget Sevandersson & Hallgren,5569486425,3,53,nan,nan
Bygg AMO AB,5567101927,2,54,nan,nan
Byggbröderna i Falkenberg AB,5566842919,2,57,7,25
Bygg Börje Bergkvist Aktiebolag,5561726166,2,65,nan,nan
Bygg Carlson & Company AB,5569311532,2,61,nan,nan
Bygg Christian i Värmland AB,5568099708,2,48,nan,nan
Bygg Craft Baudou Carlsson AB,5568650724,4,45,4,0
Bygg Design Per Arwidson AB,5568829716,2,58,nan,nan
Bygg Design Stockholm AB,5568844970,2,40,nan,nan
Bygg Element Sverige AB,5590282629,3,55,nan,nan
Bygg en 3 Prenad i Genarp AB,5566669007,2,58,3,2
Mincho Bygg AB,5590191077,2,37,nan,nan
Bygg Grant AB,5590290556,2,48,nan,nan
Bygg Gruppen Närke AB,5568796352,2,50,nan,nan
Bygg i Allt i Hlm AB,5565512786,2,45,nan,nan
Bygg i Mark AC AB,5590965249,5,57,nan,nan
Bygg Idé i Köping AB,5567944896,2,41,nan,nan
Bygg Industrisanering & Ventilation AB,5567173132,2,52,nan,nan
Bygg Ingvar i Hallsberg Aktiebolag,5561267260,2,55,nan,nan
Bygg Inredning Enskede AB,5567865240,2,37,2,5
Bygg Johan Hagström AB,5567039630,2,47,nan,nan
Bygg Johan i Eksjö AB,5567786040,2,52,3,1
Bygg Klokt Stockholm AB,5569318628,2,58,2,3
Bygg Konsult TeG Aktiebolag,5565903696,2,75,1,2
Bygg Mekanik Bemanning Vallentuna AB,5565731170,2,49,nan,nan
Bygg Mera i Skåne AB,5567881734,3,39,nan,nan
Bygg o Bo i Umeå AB,5568573306,3,38,nan,nan
Quality Properties Sweden AB,5564596731,2,47,nan,nan
Bygg o Glas Vikbolandet Aktiebolag,5562758564,2,65,nan,nan
Bygg och Akustikservice Jönköping AB,5590106810,2,47,nan,nan
Bygg och anläggningskonsultskontoret Entreprenad iNyköping AB,5566871298,2,58,nan,nan
Bygg och Anläggningsteknik i Höör AB,5567168199,3,63,nan,nan
Bygg och Bo i Norden AB,5590693130,2,55,nan,nan
Bygg och Entreprenadkedjan i Halmstad AB,5566544119,2,60,4,0
Bygg och Fastighetsservice i Sälen AB,5564978202,3,60,nan,nan
Bygg och Flexbohus i Skepplanda AB,5567044069,3,63,nan,nan
Bygg och Grundentreprenad i Östersund AB,5568173057,2,45,nan,nan
Bygg och inredningsgruppen i Stockholm AB,5568477102,2,44,5,4
Bygg och Mark Höglandet AB,5590155791,4,54,nan,nan
Bygg och Markelit i Sörmland AB,5569649485,4,44,8,3
Bygg och Montage i Belganet AB,5590638630,,,nan,nan
Bygg och Montagebolaget i Stockholm AB,5568143662,2,52,nan,nan
Bygg och Murartjänst i Vindeln AB,5566635651,4,55,nan,nan
Bygg och Renoveringstjänst S.R.D AB,5590151782,3,36,nan,nan
Bygg och Rivvargar AB,5569430712,2,41,nan,nan
Bygg Offesson/Magnusson AB,5566951298,2,45,nan,nan
Bygg Om i Göteborg Aktiebolag,5566139282,2,59,nan,nan
BYGG OSKAR DAHLBERG HANDELSBOLAG,9166276809,2,76,nan,nan
Bygg Performance AB,5568561202,2,43,nan,nan
Bygg proffs i Eklunda AB,5569660342,2,42,nan,nan
Bygg Sitko AB,5590610977,2,47,1,1
Bygg Team i Kungsäter Aktiebolag,5562995067,2,62,nan,nan
BYGG TEKNISKA GRUPPEN TOMAS PIVORAS AB,5567830657,2,55,5,1
Bygg Vision Göteborg AB,5567232268,3,56,nan,nan
Bygg Vvs El Stockholm AB,5568938145,3,40,nan,nan
Bygg - Resurs i Gamleby Aktiebolag,5564975182,2,55,nan,nan
Bygg 1 Bredaryd AB,5568625759,2,55,nan,nan
Bygg & BadrumsPartner Sverige AB,5590716964,2,27,nan,nan
Bygg & Betong i Jönköping AB,5569757213,2,51,nan,nan
Bygg & Borrteknik i Sverige AB,5590525324,3,36,nan,nan
BYGG & design i Nybrostrand AB,5566914411,2,53,nan,nan
Bygg & Entreprenad i Örebro AB,5566409255,2,71,nan,nan
Bygg & Fasad; Bengt Glaas Aktiebolag,5562252428,4,50,7,11
BYGG & FASADGRUPPEN I ÖSTERGÖTLAND AB,5569338923,2,40,2,2
Bygg & fasadteknik i Sverige AB,5569578676,2,50,nan,nan
Spekeröds Villan AB,5568181902,2,44,nan,nan
Bygg & Fastighetsservice i Åtvidaberg AB,5590981998,2,37,nan,nan
Bygg & Fastighetsutveckling i Västerås AB,5590487145,2,54,nan,nan
Bygg & Fönster i Tranås AB,5566058441,2,74,nan,nan
Bygg & Golv i Borås AB,5566183751,,,nan,nan
Bygg & Golv i Västerås AB,5568407836,4,42,1,1
Bygg & Hantverk i Linköping AB,5569574352,2,70,4,3
Bygg & Håltagning i Stockholm AB,5566123260,2,54,nan,nan
Bygg & Inredningar i Varberg Aktiebolag,5565922134,2,64,nan,nan
Bygg & Inredningsservice Andersson & Larsson AB,5565361002,2,41,nan,nan
Bygg & installationsaktiebolaget i Arboga,5565978474,2,58,nan,nan
Bygg & Installationsgruppen Danderyd AB,5565597035,1,44,nan,nan
Bygg & Interiör i Katrineholm GolvEntreprenad AB,5566997200,4,52,3,2
Bygg & Isolering Hansen AB,5568839871,2,46,nan,nan
Bygg & Konsult i Kiruna AB,5590483441,2,42,nan,nan
Bygg & Markplanering i Ljusdal Aktiebolag,5562809086,2,50,2,2
Bygg & Markservice i Sverige AB,5569075244,2,47,nan,nan
Bygg & Mark-Centralen i Gävle AB,5568120975,2,56,nan,nan
Bygg & Miljöteknik Sweden AB,5566503511,2,53,nan,nan
Bygg & Montage i Varberg AB,5568410699,4,48,nan,nan
Bygg & Montage i Örkelljunga AB,5566160130,2,53,nan,nan
Bygg & Montagefirman i Enköping AB,5567498745,2,49,nan,nan
Bygg & Montera Mera Sydost AB,5568445646,2,52,nan,nan
Bygg & Måleritjänst i Kiruna AB,5568295306,3,51,3,0
Bygg & Plattsättning i Häggvik AB,5566535265,2,67,nan,nan
Bygg & Plattsättning Roger Nielsen Aktiebolag,5566074315,2,61,nan,nan
Bygg & Plåt i Västerås AB,5568852072,2,45,nan,nan
Bygg & renovera Storstad AB,5591012611,,,nan,nan
Bygg & Rep Rolf Strömberg AB,5568100654,2,42,nan,nan
Bygg & Städtjänst i Stockholm AB,5566259635,2,43,nan,nan
Bygg & Takkungen AB,5569245771,2,46,4,3
Bygg & Transport i Nykvarn AB,5568041783,2,46,nan,nan
Bygg & Vent i Syd AB,5569699654,3,28,1,2
Bygg & Ventilationsservice i Norr AB,5567298129,4,34,nan,nan
Bygg & Väg Service i Gråbo AB,5568370208,2,45,nan,nan
JenCas Fastigheter AB,5562409598,2,28,2,3
BYGGA GWG AB,5564010659,4,42,9,7
BYGGA Homes + More Sweden AB,5590029814,2,49,nan,nan
Bygga Nytt i Kumla AB,5590060314,2,49,nan,nan
Bygga Smart i Skåne AB,5568240708,2,48,nan,nan
Byggaktiebolaget Björn Fagerström,5562826346,2,65,nan,nan
Byggab i Dalarna AB,5567485338,4,51,nan,nan
Byggaktiebolaget Leif Eriksson,5563062735,3,46,1,1
Byggab Stockholm AB,5568628811,2,56,nan,nan
Byggaktiebolaget Y. Andersson & Söner,5561575167,4,69,1,0
Byggahus i Närke AB,5567216188,2,51,nan,nan
Byggaktören i Katrineholm AB,5565176335,2,55,nan,nan
Byggakustik i Karlstad AB,5561938563,2,71,nan,nan
ByggAkuten Karlsson AB,5567862114,2,43,nan,nan
Byggalleriet Aktiebolag,5565630943,2,65,nan,nan
Byggalliansen i Kristinehamn AB,5568327463,,,nan,nan
Byggamera Stockholm AB,5568980014,,,nan,nan
Byggarna Falkenberg AB,5565206512,3,49,nan,nan
Byggarna i Stockholm AB,5568926843,3,49,nan,nan
Byggarna Lidman Sörvik AB,5569277428,4,44,nan,nan
Byggarna Peter Johansson & Hörngren AB,5590288329,4,37,1,2
byggarna.nu Karlskrona AB,5567730360,2,42,nan,nan
ByggBiten Fastighetsservice AB,5569379190,2,45,nan,nan
Byggbiten i Norrland AB,5568754260,3,44,4,11
Byggbolaget Andersson & Laukkanen Handelsbolag,9164114705,2,63,nan,nan
Byggbolaget i Alingsås AB,5566530589,4,51,nan,nan
Byggbolaget i Bergslagen AB,5568586365,4,45,2,3
Byggbolaget i Stockholm Aktiebolag,5565988622,2,48,nan,nan
Byggbolaget Karlsson Holmgren Aktiebolag,5566253455,2,56,nan,nan
Byggbolaget Kungsholmen AB,5590708318,2,49,nan,nan
Byggbolaget Lennhede/Kringberg AB,5567127724,4,52,nan,nan
Byggbolaget Orust AB,5567809990,2,40,nan,nan
Byggbolaget Peter & Morgan AB,5565215372,2,50,2,4
Byggbolaget södermalm AB,5568483621,1,34,3,23
ByggBröderna Predragovic Aktiebolag,5564088598,2,38,nan,nan
Byggbud i Stockholm AB,5569019796,2,44,nan,nan
Byggcenter i Katrineholm AB,5567489074,3,56,5,2
Byggcirkeln AB,5567452130,2,44,nan,nan
Byggcity Byggconsult AB,5568233430,4,50,6,25
Byggcompaniet i Mälardalen AB,5566897699,2,49,nan,nan
Byggdax MJJ AB,5565539524,2,54,6,0
Byggdelen i Eskilstuna AB,5566677778,2,63,nan,nan
Byggdesign Norden AB,5567943658,2,36,1,1
Byggdesign Tomas Törnlund AB,5567358584,2,56,nan,nan
Byggdesign Varberg AB,5568449549,3,46,nan,nan
Byggeffekt i Landvetter Aktiebolag,5565108221,3,62,nan,nan
ByggElit Wermland AB,5590616123,4,44,1,0
Byggens Bygg o Betong i Kilafors AB,5562796986,2,46,nan,nan
Byggentreprenad i Mönsterås AB,5568231020,4,52,2,1
Byggentreprenad Resurs Sverige AB,5590361696,2,39,9,6
Byggentreprenaden SK AB,5590648738,2,31,nan,nan
Byggentreprenören GuNo AB,5565818738,2,49,nan,nan
BYGGENTREPRENÖREN VELLINGE AB,5568056500,2,34,nan,nan
Byggentreprenörerna i Svealand AB,5567808125,3,53,nan,nan
Bygger Ditt Hus Sverige AB,5568606320,2,44,nan,nan
Bygger nu i Sverige AB,5565315735,2,57,nan,nan
Byggeriet Skåne AB,5566515242,1,60,nan,nan
Byggevolution i Sverige AB,5568478134,2,47,nan,nan
Byggex Construction AB,5569692352,3,42,4,2
Byggexperten i Vännäs AB,5567539498,2,36,nan,nan
Byggexperterna i Europa AB,5569821753,,,nan,nan
ByggExpressen Region Syd AB,5567427256,2,41,nan,nan
Byggfavoriten i Malmö AB,5568163884,2,43,nan,nan
Byggfirma C Klerfors AB,5568769359,2,47,nan,nan
Byggfirma Conny Landström AB,5590789607,2,38,nan,nan
Byggfirma K. Roos AB,5569931313,4,45,nan,nan
Byggfirma Lundby Bygg AB,5568260094,4,45,nan,nan
Byggfirma P. Lööf Aktiebolag,5565173076,2,64,nan,nan
Byggfirma S. Nilsson Förslöv AB,5569413882,2,44,nan,nan
Byggfirman F Nilsson AB,5568255987,2,44,nan,nan
Byggfirman Kristianstad Entreprenad AB,5566391867,2,54,nan,nan
Butiksfixaren i Sverige AB,5567132070,3,47,nan,nan
Byggfixarna i Norrköping AB,5566980917,3,48,nan,nan
Byggfolket i Värmland AB,5566266820,2,44,nan,nan
Byggforum & fastighetsutveckling i Stockholm AB,5566790753,2,44,nan,nan
ByggFörvaltarna Europa AB,5566074620,2,41,nan,nan
Byggförädling; Arne Bystedt Aktiebolag,5564060514,2,57,nan,nan
BYGGHILMER AB,5567953897,2,57,nan,nan
Bygghjälp i Borås Aktiebolag,5562125145,4,44,nan,nan
Bygghyttan i Karlsborg Aktiebolag,5564511227,4,57,2,1
Byggidé & Design i Karlstad AB,5569743817,2,52,nan,nan
BYGGINstallatörerna Österlen AB,5590187257,2,40,nan,nan
Byggisolering Syd AB,5566522289,2,48,nan,nan
Byggital Produktion AB,5565908497,2,56,nan,nan
Byggix AB,5569987414,,,nan,nan
Byggjobbarna i Götaland AB,5568177793,3,51,2,1
Byggkeramik i Göteborg AB,5564975679,2,44,nan,nan
Nordic Safety Partner AB,5590102975,2,42,nan,nan
Byggklar Sverige AB,5569062788,2,34,nan,nan
Byggkompaniet i Sollentuna AB,5567153803,2,52,nan,nan
Byggkompaniet i Vittsjö AB,5566004379,2,61,nan,nan
Byggkompaniet i Västerås AB,5567370217,3,45,1,6
BYGGKOMPANIET I ÖSTERSUND Aktiebolag,5563396943,2,61,nan,nan
Byggkompaniet Uterum i Göteborg AB,5564863529,3,65,nan,nan
Byggkomponenter i Klippan AB,5567229256,2,68,nan,nan
Byggkontakt Stockholm AB,5567977326,2,46,nan,nan
Byggkraft i Haninge AB,5569132367,3,43,nan,nan
Byggkraft Scandinavia AB,5568997448,2,46,nan,nan
Byggkvalité Nyköping AB,5567819031,3,56,1,0
Byggkänsla AB,5567668990,3,47,nan,nan
Bygglaget i Fjugesta AB,5566794359,3,51,nan,nan
Bygglaget Stockholm AB,5569909483,2,41,nan,nan
Bygglaget Väst AB,5590614243,,,2,5
ByggLigan AB,5567594774,2,52,2,10
Byggline Katrineholm AB,5569947541,2,52,nan,nan
Bygglinjen i Järfälla Aktiebolag,5566817903,2,54,nan,nan
Byggmagasinet i Kungsbacka Aktiebolag,5564057429,2,47,nan,nan
Byggman Borås AB,5566806229,4,42,nan,nan
Byggmed Sthlm AB,5590779202,2,34,nan,nan
Byggmetoder Scandinavia AB,5566353917,2,36,nan,nan
Byggmetropol Göteborg AB,5590993860,2,38,11,7
ByggMix i Norr AB,5568038904,4,42,nan,nan
Byggmontage Forsell AB,5568238132,2,58,nan,nan
Byggmontage i Uddevalla Aktiebolag,5563491496,2,70,nan,nan
Byggmontage Saldner AB,5563484368,3,59,nan,nan
Byggmontören Stockholm AB,5569443921,,,nan,nan
Byggmästar'n i Jämtland AB,5566420245,2,55,nan,nan
Byggmästare Eric Gunnarsson Aktiebolag,5564764529,5,70,2,1
Byggmästare Ingvar Borg AB,5565995569,3,35,nan,nan
Byggmästare Jonas Petersson AB,5566822333,2,50,nan,nan
Byggmästare Rune Nilsson Aktiebolag,5562678572,2,70,nan,nan
Byggmästare Sjöö AB,5568028319,,,1,1
Byggmästaren Syd AB,5569807109,,,nan,nan
Byggmästarna JW AB,5567532014,2,61,nan,nan
Byggmäster Tommy Karlsöen AB,5567535256,2,65,nan,nan
Byggnadsaktiebolaget A J Palmqvist,5569587826,3,61,2,1
Byggnads Aktiebolaget Algot Gustavsson,5563124394,2,51,3,2
Byggnads Aktiebolaget Andersson & Baggman,5561336313,2,59,7,8
Byggnadsaktiebolaget Apelman & Son,5560871401,2,51,5,5
Byggnads Aktiebolaget Bror Hermansson,5561709816,3,55,nan,nan
Byggnads Aktiebolaget Bröderna Olsson,5560615493,3,57,nan,nan
Byggnadsaktiebolaget Calpe,5561170431,2,57,nan,nan
Byggnads AB Göte Johansson i Habo,5590467592,2,41,nan,nan
Byggnads Aktiebolaget Jarledal & Svensson,5561785535,3,63,2,5
Byggnads Aktiebolaget Johansson och Pettersson,5562962976,3,47,nan,nan
Byggnads AB Knut Rosenkvist,5569666851,4,61,nan,nan
Byggnadsaktiebolaget Libellen,5563413300,2,57,3,7
Byggnadsaktiebolaget Per Wall,5566334420,,,1,2
Byggnads Aktiebolaget S. Garpsäter,5562938042,2,61,nan,nan
Byggnads bolaget consensus AB,5568140742,2,52,nan,nan
Byggnadsaktiebolaget Bröderna Gustafsson,5562076868,4,42,7,10
Byggnadsaktiebolaget N.J. Andersson & Son,5560798299,3,65,13,13
Byggnadsaktiebolaget Folke Nilsson,5560729179,2,60,nan,nan
Byggnadsautomation Gävleborg AB,5565276929,4,56,5,9
ByggnadsAutomation i Växjö AB,5568795644,2,52,2,0
Byggnadsekonomi Smedborn Appelqvist AB,5568116841,2,42,nan,nan
Byggnadsfirma Andersson & Carlsson Aktiebolag,5562193143,2,68,nan,nan
Byggnadsfirma Axel Blomster Aktiebolag,5561337071,3,49,nan,nan
Byggnadsfirma Claes Dahlqvist AB,5569312902,2,51,nan,nan
Byggnadsfirma Häggström & Co Aktiebolag,5561602375,2,63,nan,nan
Byggnadsfirma J. Kjellander AB,5566511860,2,48,nan,nan
Byggnadsfirma Jonas Dahl AB,5567464622,2,52,nan,nan
Byggnadsfirma K.J. Aktiebolag,5563005692,2,73,nan,nan
Byggnadsfirma Karls & Svens Aktiebolag,5562015379,3,59,3,1
Byggnadsfirma Karl-Åke Gunnarsson Aktiebolag,5562905116,2,63,nan,nan
Byggnadsfirma Kenneth Andersson Aktiebolag,5562273663,,,nan,nan
Byggnadsfirma Leif Törnkvist Aktiebolag,5562700616,2,80,nan,nan
Byggnadsfirma Lundberg & Carlsson Aktiebolag,5561080796,4,39,2,8
Byggnadsfirma N.E. Persson i Kristianstad         Aktiebolag,5561617589,3,61,nan,nan
Byggnadsfirma O Nilsson Aktiebolag,5564670379,4,38,10,8
Byggnadsfirma Oscar H. Nord Aktiebolag,5560728502,7,51,9,0
Byggnadsfirma Reino Ingvarsson AB,5567429468,2,48,nan,nan
Byggnadsfirma Richard Olsson Holding AB,5563359438,2,67,nan,nan
Byggnadsfirma Roland Hansson Aktiebolag,5562904010,2,56,nan,nan
Byggnadsfirma Sven Jonsson AB,5568742406,2,41,nan,nan
Byggnadsfirman Fransson & Karlsson Aktiebolag,5561180265,3,48,nan,nan
