company,id,year,net_sales,other_sales,op_profit_ebit,prof_after_net_fin_items,results,sub_unpaid_cap,fixed_assets,current_assets,assets,equity,untaxed_reserves,provisions,lt_liabilities,curr_liabilities,lia_and_equity,salar_board_ceo,royalties_board_ceo,sal_other_empl,perf_other_empl,social_exp,dividends,revenue,num_employes,net_sales_empl,pers_cost_empl,op_prof_ebitda,net_change,du_pont_model,prof_margin,gross_prof,working_cap,solidity,quick_ratio
Svevia AB (publ),5567689848,2019,8177000,-,202000,201000,156000,0,1385000,2584000,3969000,614000,346000,96000,31000,2882000,3969000,20000,-,965000,-,474000,87817000,8177000,1712,4776,852,243000,"1,63%","5,67%","2,75%","7,46%","-3,64%","22,27%","78,90%"
Svevia AB (publ),5567689848,2018,8046000,-,217000,476000,399000,0,2005000,2228000,4233000,783000,291000,109000,33000,3017000,4233000,0,0,919697,0,442307,335000,8046000,1695,4747,804,311000,"33,77%","11,27%","5,93%","7,73%","-9,81%","23,86%","66,39%"
Svevia AB (publ),5567689848,2017,6015000,-,101000,124000,126000,0,1979000,2229000,4208000,707000,198000,157000,23000,3123000,4208000,15468,0,882752,0,423424,299375,6015000,247,24352,5351,184000,"-7,86%","2,97%","2,08%","8,18%","-14,86%","20,47%","65,29%"
Bravida Sverige AB,5561974188,2019,8849699,11235,526087,285212,78245,0,460503,3533734,3994237,465999,265528,133155,0,3129555,3994237,-,-,2611682,-,935427,0,8860934,5035,1758,723,583507,"6,35%","7,33%","3,31%","57,51%","4,57%","16,85%","111,82%"
Svevia AB (publ),5567689848,2016,6528000,-,332000,352000,258000,0,2248000,2059000,4307000,866000,114000,146000,42000,3139000,4307000,-,-,842450,-,391026,299375,6528000,1619,4032,762,408000,"13,57%","8,20%","5,41%","10,75%","-16,54%","22,17%","58,68%"
Bravida Sverige AB,5561974188,2018,8321401,7464,494374,190261,-104470,0,532606,2913068,3445674,387630,126216,121656,0,2810172,3445674,-,-,2308368,-,910389,0,8328865,4800,1734,688,548159,"7,60%","5,67%","2,35%","56,21%","1,24%","14,11%","102,69%"
Peab AB,5560614330,2019,54008000,280000,2568000,2510000,2092000,0,12889000,25840000,38729000,12264000,2000,1156000,5837000,19470000,38729000,-,-,7277000,-,3021000,0,54288000,14309,3774,720,2607000,"3,40%","6,97%","5,00%","9,77%","11,79%","31,67%","129,98%"
Svevia AB (publ),5567689848,2015,5748000,-,112000,138000,178000,0,2025000,1950000,3975000,734000,0,307000,34000,2900000,3975000,20795,-,818895,-,391464,150000,5748000,1669,3444,738,180000,"-0,91%","3,50%","2,42%","8,25%","-16,53%","18,47%","59,07%"
Peab Sverige AB,5560999202,2019,19590968,4481,473280,510657,-46420,0,962788,6946940,7909728,1761552,852,427226,9116,5710982,7909728,3051,0,1743365,0,808512,0,19595449,3620,5412,706,475892,"8,25%","6,47%","2,61%","6,13%","6,31%","22,28%","117,85%"
Skanska Sverige AB,5560339086,2019,32059019,450945,532148,1413036,789909,0,13181060,3811651,16992711,2912153,730571,1620451,0,11729536,16992711,24673,7950,3883523,-,1785836,874000,32509964,7150,4484,796,632791,"-20,31%","8,45%","4,48%","7,75%","-24,70%","20,49%","30,26%"
Bravida Sverige AB,5561974188,2017,7733829,8907,491716,435584,-57504,0,681944,2374343,3056287,490373,23054,101137,0,2441724,3056287,-,-,2138081,-,882896,0,7742736,4434,1744,688,543708,"11,42%","14,42%","5,70%","55,09%","-0,87%","16,63%","96,14%"
Peab AB,5560614330,2018,52233000,216000,2573000,2518000,2100000,0,11317000,25999000,37316000,11347000,1000,0,6294000,19674000,37316000,29000,-,7188000,-,2930000,0,52449000,14661,3563,692,3543000,"4,28%","7,16%","5,12%","9,93%","12,11%","30,41%","80,68%"
Svevia AB (publ),5567689848,2014,5801000,-,-149000,-10000,-7000,0,1644000,2076000,3720000,705000,0,222000,35000,2758000,3720000,24080,0,836094,0,372842,120000,5801000,1753,3309,703,-131000,"-16,75%","-0,16%","-0,10%","3,45%","-11,76%","18,95%","66,90%"
Peab Sverige AB,5560999202,2018,18098566,1404,297394,330126,-17530,0,912417,7566705,8479122,1801996,856,440971,9063,6226236,8479122,3266,353,1773681,-,801889,0,18099970,3882,4662,664,299834,"2,15%","3,90%","1,83%","5,67%","7,41%","21,26%","115,19%"
Skanska Sverige AB,5560339086,2018,40227966,460483,1023795,2224171,1123852,0,14596727,4450443,19047170,3178424,679295,1875568,0,13313883,19047170,30832,15479,3820947,0,1900837,1068000,40688449,9288,4331,619,1132356,"73,29%","11,81%","5,59%","7,09%","-22,03%","19,47%","31,77%"
Bravida Sverige AB,5561974188,2016,6940964,-12577,449957,403486,-82003,0,786636,2097756,2884392,547876,20549,114481,0,2201486,2884392,3305,1043,2013608,40095,765772,0,6928387,4281,1621,658,493019,"2,33%","14,16%","5,88%","56,68%","-1,49%","19,55%","94,04%"
Peab AB,5560614330,2017,50090000,305000,2405000,2445000,2057000,0,11228000,21048000,32276000,10361000,1000,956000,2987000,17971000,32276000,25000,-,6767000,-,2736000,0,50395000,14578,3436,654,2405000,"8,10%","8,04%","5,18%","9,47%","6,14%","32,10%","107,40%"
Svevia AB (publ),5567689848,2013,6968000,-,-328000,-182000,-143000,0,1555000,2200000,3755000,708000,0,216000,4000,2827000,3755000,8623,-,886871,-,406258,0,6968000,1937,3597,672,-312000,"-1,96%","-4,71%","-2,54%","1,16%","-9,00%","18,85%","70,07%"
Peab Sverige AB,5560999202,2017,17717425,2310,248312,294028,-82042,0,902362,7103925,8006287,1819434,1025,398704,13415,5773709,8006287,3042,-,1779217,-,790025,0,17719735,4004,4425,642,250542,"6,22%","3,74%","1,69%","5,68%","7,51%","22,74%","119,04%"
Skanska Sverige AB,5560339086,2017,23214025,521256,360268,1198788,942660,0,14214693,4073583,18288276,2919780,1114795,1745544,0,12508157,18288276,22205,10192,3736862,0,2044854,0,23735281,8340,2783,696,466538,"-0,82%","6,66%","5,25%","8,40%","-36,33%","20,72%","31,63%"
Bravida Sverige AB,5561974188,2015,6783084,2156,386219,317005,-114158,0,592307,2347455,2939762,629879,19233,125375,0,2165275,2939762,13515,9018,1914880,59558,703371,0,6785240,4042,1678,661,406432,"9,45%","10,91%","4,73%","100,00%","2,69%","21,94%","107,42%"
Peab AB,5560614330,2016,46337000,149000,2098000,2050000,1727000,0,9901000,21708000,31609000,9380000,0,799000,3282000,18148000,31609000,55000,-,6156000,-,2523000,0,46486000,13712,3379,637,2098784,"4,42%","7,25%","4,95%","9,47%","7,68%","29,68%","110,98%"
Svevia AB (publ),5567689848,2012,7107000,-,-304000,-199000,-168000,0,1210000,2595000,3805000,847000,0,185000,0,2773000,3805000,5870,-,1032642,-,467906,0,7107000,2288,3106,658,-288000,"2,85%","-3,71%","-1,98%","1,48%","-2,50%","22,26%","73,24%"
Peab Sverige AB,5560999202,2016,16679680,118382,566253,587024,-5214,0,974801,7197086,8171887,1898905,1063,300609,15485,5955825,8171887,3682,639,1565787,-,737568,0,16798062,3859,4322,598,570187,"1,63%","7,18%","3,52%","7,08%","7,44%","23,25%","114,49%"
Skanska Sverige AB,5560339086,2016,23406462,392600,31117,158507,8435,0,12047409,4106273,16153682,1977120,952074,1734697,0,11489791,16153682,23537,10497,3509524,-,1504505,0,23799062,7145,3276,705,127520,"0,13%","1,16%","0,80%","6,54%","-31,54%","16,84%","34,96%"
Bravida Sverige AB,5561974188,2014,6197661,1344,339730,381185,2189,0,357858,2724667,3082525,744034,1656,99970,0,2236865,3082525,8454,-,1891451,-,523442,0,6199005,3927,1578,617,345562,"1,13%","12,54%","6,23%","100,00%","7,87%","24,18%","120,91%"
JM AB,5560452103,2019,15605000,106000,1982000,1882000,1526000,0,419000,22553000,22972000,7126000,0,639000,4672000,10535000,22972000,22000,-,1494000,-,742000,0,15711000,2598,6007,869,1991000,"-3,44%","8,65%","12,74%","18,30%","77,01%","31,02%","178,19%"
Peab AB,5560614330,2015,44376000,106000,1009000,906000,798000,0,9323000,18718000,28041000,8076000,0,592000,3913000,15460000,28041000,24000,-,5865000,-,2348000,0,44482000,13036,3404,632,1744000,"1,71%","4,16%","2,63%","7,27%","7,34%","28,80%","68,58%"
Svevia AB (publ),5567689848,2011,6910000,-,-101000,38000,27000,0,743000,2948000,3691000,1008000,0,244000,0,2439000,3691000,6579,-,1120633,-,504808,0,6910000,2785,2481,586,-86000,"45,20%","1,19%","0,64%","4,57%","7,37%","27,31%","114,10%"
Peab Sverige AB,5560999202,2015,16412187,2617,-432492,-428543,-132095,0,915544,6280235,7195779,1904119,804,309127,17641,4964088,7195779,2880,1275,1568747,-,790136,0,16414804,3720,4412,635,-428556,"5,79%","-5,74%","-2,52%","2,12%","8,02%","26,47%","115,82%"
Skanska Sverige AB,5560339086,2015,23376093,956440,1177210,1274739,-2010,0,11465431,3609952,15075383,1968685,516574,1626129,0,10963995,15075383,20089,8922,3304524,-,1422010,0,24332533,6884,3396,690,1273332,"1,00%","8,64%","5,57%","8,65%","-31,46%","15,73%","32,22%"
Bravida Sverige AB,5561974188,2013,6128553,4089,382998,388229,-7352,0,818081,2396414,3214495,741845,46656,77858,0,2348136,3214495,7944,2663,1872582,43058,527736,0,6132642,3916,1565,623,391331,"-3,93%","12,23%","6,41%","100,00%","0,79%","24,21%","101,09%"
JM AB,5560452103,2018,16161000,13000,1886000,1817000,1438000,0,214000,20434000,20648000,6644000,0,1057000,2911000,10036000,20648000,23000,-,1459000,-,730000,0,16174000,2562,6308,863,1894000,"-6,45%","9,18%","11,73%","18,03%","64,34%","32,18%","69,43%"
NCC Sverige AB,5566134929,2019,30456888,77276,961514,868500,247072,0,503930,10936575,11440505,383118,522410,956107,121002,9457868,11440505,-,-,3499390,0,1568540,231300,30534164,6447,4724,786,992405,"35,64%","8,71%","3,27%","6,78%","4,86%","6,91%","115,47%"
Peab AB,5560614330,2014,43630000,113000,1752000,1230000,1027000,0,9284000,19101000,28385000,7997000,0,0,4719000,15669000,28385000,-,-,5125,-,2239,0,43743000,13176,3311,1,2479000,"1,24%","6,60%","4,30%","9,04%","7,87%","28,17%","70,29%"
Svevia AB (publ),5567689848,2010,4759000,-,-32000,42000,45000,0,1183000,2559000,3742000,1093000,0,195000,0,2454000,3742000,5748,-,1102508,-,501823,107775,4759000,2815,1691,572,-18000,-,"1,18%","0,92%","7,75%","2,21%","29,21%","99,80%"
Peab Sverige AB,5560999202,2014,15513800,-,-84492,-225428,180521,0,969424,7045356,8014780,2036214,0,228422,1605249,4144895,8014780,2727,-,1541188,-,704952,0,15513800,3890,3988,578,-80998,"-2,46%","-0,43%","-0,22%","4,15%","18,70%","25,41%","155,62%"
Skanska Sverige AB,5560339086,2014,23144472,113109,536899,578321,86848,0,10180895,3534771,13715666,1967764,546686,1530950,0,9670266,13715666,19828,9555,3254728,-,1220164,0,23257581,6882,3363,653,624805,"21,02%","4,56%","2,70%","9,12%","-26,51%","17,46%","32,66%"
Bravida Sverige AB,5561974188,2012,6378996,-,359197,371806,263154,0,269294,2961534,3230828,749197,46840,78737,0,2356054,3230828,5843,0,1929873,44949,534336,0,6378996,4149,1537,608,367549,"5,11%","11,66%","5,91%","100,00%","9,49%","24,26%","124,74%"
JM AB,5560452103,2017,17275000,14000,2456000,2666000,2259000,0,209000,16738000,16947000,6043000,0,0,3095000,7809000,16947000,22000,7000,1379000,86000,718000,0,17289000,2538,6807,835,2463000,"12,97%","16,14%","15,83%","19,95%","51,69%","35,66%","70,70%"
NCC Sverige AB,5566134929,2018,22454214,42605,-5518,-122453,-235309,0,389482,11135111,11524593,201438,480518,905606,139679,9797352,11524593,-,-,3645349,0,1565390,66810,22496819,7324,3066,711,72507,"3,99%","0,00%","0,00%","4,89%","5,96%","5,00%","113,37%"
Peab AB,5560614330,2013,43095000,139000,614000,383000,298000,0,9873000,21978000,31851000,7668000,0,484000,5602000,18097000,31851000,28000,-,6025000,-,2182000,0,43234000,13792,3125,597,2147000,"-8,00%","2,68%","1,98%","6,50%","9,01%","24,07%","76,15%"
Peab Sverige AB,5560999202,2013,15904914,12312,-169169,-186413,-123018,0,1309912,11680598,12990510,1856118,0,123313,4671752,6339327,12990510,-,-,1853849,-,730411,0,15917226,4319,3683,598,-159028,"-34,14%","0,40%","0,33%","3,98%","33,58%","14,29%","171,95%"
Skanska Sverige AB,5560339086,2013,19123949,114006,-164332,-64273,-162458,0,8790560,3690103,12480663,2037517,603918,1821594,0,8017634,12480663,17405,7548,3211688,-,1252634,200000,19237955,6942,2755,646,-78360,"2,34%","-0,08%","-0,05%","6,63%","-22,63%","20,10%","38,84%"
Bravida Sverige AB,5561974188,2011,6068986,-,419912,709480,586524,0,229472,2548656,2778128,779912,45700,77258,0,1875259,2778128,0,0,1858394,44653,501000,0,6068986,3934,1543,600,428968,"6,49%","25,69%","11,76%","56,56%","11,10%","29,29%","134,98%"
IKEA of Sweden AB,5560747551,2019,7484732,-,2122967,2079836,1649530,0,306843,4680052,4986895,2494997,12264,1158335,0,1321299,4986895,0,-,1776385,-,1022962,1000,7484732,2218,3375,1287,2147535,"0,33%","42,58%","28,37%","100,00%","44,87%","50,22%","354,20%"
Peab Anläggning AB,5565686721,2019,11024634,12936,316009,301987,-56236,0,1167493,3625683,4793176,622418,17073,81593,11264,4060828,4793176,2963,439,1385788,-,653768,0,11037570,2904,3796,703,338126,"1,97%","6,32%","2,75%","8,31%","-3,95%","13,26%","89,28%"
Ola Serneke Holding AB,5566595764,2019,6730772,7979,-103269,-134578,-105373,0,695783,5082849,5778631,463193,1588549,0,1468869,2258021,5778631,-,-,636925,-,266217,0,6738751,1172,5743,771,-103269,"3,43%","-1,58%","-1,35%","1,65%","41,97%","8,02%","225,05%"
JM AB,5560452103,2016,15291000,15000,1931000,1871000,1478000,0,230000,12250000,12480000,4951000,0,0,2686000,4843000,12480000,20000,6000,1271000,83000,661000,0,15306000,2400,6371,813,1939000,"9,70%","15,61%","12,74%","18,64%","48,44%","39,67%","84,10%"
Windfarm Högkölen AB,5569951279,2019,7339338,292700,843565,-3490716,-4078702,0,99492127,4636182,104128309,1867572,0,1173601,87790142,13296994,104128309,0,0,0,0,0,0,7632038,0,-,-,4995173,"21130,37%","1,03%","14,65%","92,67%","-118,01%","1,79%","34,87%"
NCC Sverige AB,5566134929,2017,21593041,10977,78132,-43126,24282,0,335001,10677404,11012405,88165,531964,636869,129918,9625489,11012405,-,-,3258128,0,1487610,0,21604018,8084,2671,587,164420,"10689524,26%","0,75%","0,38%","5,17%","4,87%","4,57%","110,65%"
Peab AB,5560614330,2012,46840000,146000,1055000,813000,725000,0,9786000,22287000,32073000,7985000,0,0,7759000,16329000,32073000,18000,-,21000,-,32000,0,46986000,14828,3159,5,1108000,"7,58%","4,03%","2,76%","7,04%","12,72%","24,90%","77,06%"
Peab Sverige AB,5560999202,2012,24148364,23660,20312,51199,34192,0,1417528,11709114,13126642,1604543,0,129909,4677400,6714790,13126642,0,0,2645033,-,1094203,0,24172024,7083,3409,528,61992,"2,32%","1,97%","1,07%","4,93%","20,68%","12,22%","162,38%"
Skanska Sverige AB,5560339086,2012,18686720,45790,-392482,-234112,-163085,0,8008921,3305731,11314652,2079132,482167,1810045,0,6943308,11314652,17408,6395,3235888,-,1250723,0,18732510,7168,2607,628,-317924,"-12,03%","-1,68%","-1,02%","6,67%","-19,47%","21,52%","42,37%"
Bravida Sverige AB,5561974188,2010,5698868,-,391329,404250,256896,0,159210,2384474,2543684,540114,45000,92076,0,1866494,2543684,0,-,1595888,42477,587362,360000,5698868,3854,1479,584,399097,-,"15,99%","7,14%","56,25%","9,09%","22,54%","126,83%"
IKEA of Sweden AB,5560747551,2018,7459874,-,2191071,2154229,1603612,0,515252,3634436,4149688,1645467,15764,995562,0,1492895,4149688,12413,-,1542466,-,847468,1000,7459874,2160,3454,1169,2213046,"12,54%","52,80%","29,37%","100,00%","28,71%","39,95%","243,45%"
Peab Anläggning AB,5565686721,2018,10811868,11248,305199,302613,-16778,0,1169238,3708341,4877579,628654,19758,69870,3977,4155320,4877579,0,-,1329443,-,607541,0,10823116,2946,3670,658,332826,"10,23%","6,21%","2,80%","7,81%","-4,13%","13,20%","89,24%"
Ola Serneke Holding AB,5566595764,2018,6507504,510242,580883,546856,592750,0,1125907,4480325,5606232,518588,1658390,380195,1028918,2020142,5606232,-,-,556231,-,229081,0,7017746,1071,6076,733,580883,"15,94%","11,18%","9,63%","3,61%","37,81%","9,25%","97,65%"
JM AB,5560452103,2015,13939000,56000,1499000,1427000,1085000,0,209000,11763000,11972000,4521000,0,1788000,851000,4812000,11972000,21000,5000,1198000,0,595000,0,13995000,2316,6019,783,1507000,"-1,95%","12,61%","10,83%","16,57%","49,87%","37,76%","65,59%"
Windfarm Högkölen AB,5569951279,2018,34570,628,7234,5698,135,0,1050069,188949,1239018,4576,5563,0,1025717,203161,1239018,0,0,0,0,0,0,35198,0,-,-,8386,-,"0,80%","28,75%","94,07%","-41,11%","0,72%","93,00%"
Veidekke Entreprenad AB,5565086583,2019,6818653,1952,-133825,-220954,-114769,0,970630,2126854,3097484,712003,32853,326101,25110,2001417,3097484,-,-,767506,-,340892,0,6820605,1349,5055,907,-83550,"-1,75%","-7,11%","-3,23%","20,38%","1,84%","23,81%","106,27%"
NCC Sverige AB,5566134929,2016,202,-,-50,85,85,0,2792,48011,50803,50803,0,0,0,0,50803,0,0,0,0,0,0,202,0,-,-,37,"-68,63%","0,17%","42,08%","0,00%","23767,82%","100,00%",-
Peab AB,5560614330,2011,43539000,82000,1505000,1195000,943000,0,10850000,20499000,31349000,7947000,0,0,8208000,15194000,31349000,18000,0,21000,1000,32000,0,43621000,14560,2990,5,1569000,"14,44%","5,30%","3,82%","8,49%","12,18%","25,35%","86,97%"
Peab Sverige AB,5560999202,2011,23600880,-,376246,256958,145913,0,6098919,9242380,15341299,1648733,23370,126655,6207327,7335214,15341299,0,0,2812018,-,1133316,0,23600880,7261,3250,543,420166,"11,64%","3,02%","1,96%","6,71%","8,08%","10,86%","114,01%"
Skanska Sverige AB,5560339086,2011,21242899,134012,208294,432666,379568,0,8496656,2958314,11454970,2027273,490350,1723065,0,7214282,11454970,17453,6516,3127994,0,1661529,0,21376911,7544,2816,637,279711,"-11,98%","4,12%","2,22%","6,80%","-20,03%","20,85%","39,57%"
IKEA of Sweden AB,5560747551,2017,6628837,5799,1685242,1652933,1195291,0,506352,3096886,3603238,1241854,14504,853718,0,1493162,3603238,16327,-,1350338,-,797398,1200,6634636,1896,3496,1197,1702182,"-9,57%","46,77%","25,42%","100,00%","24,19%","34,78%","207,40%"
Peab Anläggning AB,5565686721,2017,9808876,32510,233915,221713,-49425,0,1217952,3339974,4557926,595432,22102,57473,13671,3869248,4557926,-,-,1273088,-,568694,0,9841386,2927,3351,629,258291,"23,75%","4,87%","2,26%","7,57%","-5,40%","13,44%","86,32%"
Ola Serneke Holding AB,5566595764,2017,5612821,261988,411150,295495,217352,0,1737282,2744186,4481468,1730632,0,157756,940059,1653021,4481468,16846,-,420154,-,185000,0,5874809,941,5965,661,433150,"40,02%","9,60%","7,67%","5,52%","19,44%","38,62%","148,82%"
JM AB,5560452103,2014,14216000,25000,1819000,1744000,1306000,0,225000,12150000,12375000,4635000,0,0,2848000,4892000,12375000,21000,600,1146000,83000,586000,0,14241000,2218,6409,790,1825000,"12,80%","14,92%","12,99%","18,06%","51,06%","37,45%","104,62%"
Windfarm Högkölen AB,5569951279,2017,0,41,-96,-94,-94,0,332193,16114,348308,4264,0,0,309889,34155,348308,-,-,0,0,0,0,41,0,-,-,-96,-,-,-,-,-,"1,22%","47,18%"
Veidekke Entreprenad AB,5565086583,2018,6939958,1133,3387,-7517,-110140,0,1044057,2186150,3230207,656446,37640,118028,155423,2262670,3230207,0,-,693758,-,326214,0,6941091,1334,5202,830,41830,"5,32%","-0,11%","-0,05%","18,93%","-1,10%","21,23%","96,62%"
NCC Sverige AB,5566134929,2015,644,-,0,29,29,0,3205,47513,50718,50718,0,0,0,0,50718,0,0,0,0,0,0,644,0,-,-,87,"-76,98%","0,06%","4,50%","0,00%","7377,80%","100,00%",-
Peab AB,5560614330,2010,38045000,133000,1503000,1513000,1190000,0,9657000,17923000,27580000,7673000,0,334000,5786000,13787000,27580000,15000,-,5268000,59000,1988000,0,38178000,13541,2810,537,2228000,-,"6,40%","4,64%","9,23%","10,87%","27,82%","82,16%"
Peab Sverige AB,5560999202,2010,21140237,-,489967,346166,225300,0,5273158,8974142,14247300,1604031,25878,72164,5652925,6892302,14247300,0,-,2571692,30445,1038626,0,21140237,6737,3138,536,530881,-,"3,57%","2,41%","7,64%","9,85%","11,39%","117,08%"
Skanska Sverige AB,5560339086,2010,24133813,111369,743773,843787,799712,0,8170595,3301785,11472380,1856788,529621,1435683,0,7650288,11472380,18681,8372,3324534,-,1359179,0,24245182,8108,2977,580,871775,-,"7,54%","3,59%","10,14%","-18,02%","19,59%","41,29%"
IKEA of Sweden AB,5560747551,2016,7330211,8201,1511678,1481412,1138680,0,153005,3770881,3923886,1748142,12929,838073,0,1324742,3923886,23165,10090,1456368,-,814572,0,7338412,1860,3941,1289,1527544,"58,38%","38,53%","20,63%","100,00%","33,37%","44,81%","284,46%"
NCC Industry Aktiebolag,5563023307,2019,6105818,12609,352710,367073,-2844,0,1011618,1572321,2583939,274884,308066,227272,1469,1772248,2583939,894,-,842796,-,373839,0,6118427,1646,3709,740,512141,"8,46%","15,38%","6,51%","11,10%","-3,27%","19,94%","58,76%"
Peab Anläggning AB,5565686721,2016,7926614,8190,235208,236666,-25073,0,524482,2469225,2993707,392535,10442,45451,1247,2544032,2993707,0,-,1008457,-,451473,0,7934804,2377,3335,614,243194,"3,15%","7,92%","2,99%","8,54%","-0,94%","13,38%","97,06%"
Ola Serneke Holding AB,5566595764,2016,4008643,268103,436803,431927,432405,0,1209041,2311116,3520158,329277,1085845,120339,750830,1233867,3520158,-,-,342000,-,142000,0,4276746,779,5146,621,455803,"53,49%","13,24%","11,62%","6,71%","26,87%","9,35%","167,50%"
JM AB,5560452103,2013,12603000,24000,1523000,1464000,1104000,0,236000,10914000,11150000,4455000,0,1170000,1495000,4030000,11150000,18000,5000,1133000,86000,591000,0,12627000,2247,5609,775,1528000,"0,99%","14,04%","12,42%","17,76%","54,62%","39,96%","103,95%"
Windfarm Högkölen AB,5569951279,2016,0,13,5,5,5,0,161700,39982,201682,4357,0,0,175643,21682,201682,0,0,0,0,0,0,13,0,-,-,5,-,-,-,-,-,"2,16%","184,40%"
Veidekke Entreprenad AB,5565086583,2017,6589430,1357,22002,26329,-60759,0,702942,2674624,3377566,679585,32827,166720,155172,2343262,3377566,2942,650,686194,-,299452,0,6590787,1228,5366,827,61791,"18,95%","0,88%","0,45%","19,99%","5,03%","20,88%","114,14%"
NCC Sverige AB,5566134929,2014,2798,-,0,66,23,0,3071,688675,691746,50689,0,0,61166,579891,691746,0,0,0,0,0,0,2798,0,-,-,88,"-1,34%","0,01%","2,36%","0,00%","3887,92%","7,33%","1,50%"
IKEA of Sweden AB,5560747551,2015,4628202,388,591212,561255,432688,0,57516,2241046,2298562,609462,9913,739651,0,939535,2298562,17028,4644,1179000,-,674172,0,4628590,1589,2913,1238,604477,"20,45%","25,75%","12,79%","100,00%","28,12%","26,85%","238,15%"
NCC Industry Aktiebolag,5563023307,2018,5629442,33381,389717,365490,21445,0,994361,1565558,2559919,277427,219752,205485,602,1856653,2559919,2586,622,956412,-,433489,0,5662823,1684,3343,827,523319,"4,96%","15,36%","6,98%","9,20%","-5,17%","17,53%","60,54%"
SERNEKE Group AB (publ),5566694153,2019,6725000,8000,-84000,-111000,-82000,0,661000,5073000,5734000,2179000,0,183000,1252000,2120000,5734000,-,-,636000,0,266000,0,6733000,1170,5748,771,-34000,"3,21%","-1,26%","-1,07%","1,56%","43,91%","38,00%","239,25%"
Peab Anläggning AB,5565686721,2015,7684707,2669,271125,273560,-25475,0,536486,2631193,3167679,404380,6121,34643,0,2722535,3167679,-,-,942928,-,423909,0,7687376,2265,3393,603,277447,"6,04%","8,65%","3,57%","8,99%","-1,19%","12,92%","96,64%"
Serneke Sverige AB,5566216908,2019,5793992,17661,89514,83964,64028,0,156929,1763612,1920541,457668,0,62753,36368,1363752,1920541,2274,-,374831,-,178776,0,5811653,734,7894,789,104875,"6,44%","4,53%","1,50%","100,00%","6,90%","23,83%","129,32%"
